domain,bot_bucket,chat_class,vendor,quotable_line
111skin.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"I understand you want to check your order status. To locate the order, please log in so we can access your order details and tracking for you 😊 Verify order details"
16arlington.co.uk,TEXT BOT,canned-wait-time,Gorgias,We will get back to you in about 4 minutes
1stopspas.com,NO BOT,not-probed,,
200degs.com,NO BOT,no-chat-widget,,
2pedalz.com,NO BOT,not-probed,,
3leggedthing.com,NO BOT,no-chat-widget,,
47skin.com,NO BOT,no-chat-widget,Gorgias,
80scasualclassics.co.uk,NO BOT,no-chat-widget,,
9barista.com,NO BOT,no-chat-widget,,
abask.com,NO BOT,no-chat-widget,,
abbeydalebrewery.co.uk,NO BOT,not-probed,,
abbeygatelighting.co.uk,NO BOT,not-probed,,
abbottlyon.com,BUTTONS BOT,prechat-form-gated,DigitalGenius,
abdo.org.uk,NO BOT,not-probed,,
abigailahern.com,NO BOT,other-reply,Zendesk,You say: Sent · Just now Abi Bot is typing
academieduvinlibrary.com,NO BOT,blocked-not-probed,,
acaiberryfoods.com,NO BOT,no-chat-widget,,
acaioutdoorwear.com,NO BOT,no-chat-widget,,
acci.org.uk,NO BOT,not-probed,,
accotax.co.uk,NO BOT,not-probed,,
aceongroup.com,NO BOT,not-probed,,
activehealthsolutions.co.uk,NO BOT,not-probed,,
activeoutdoorpursuits.com,NO BOT,no-chat-widget,,
acuprime.com,NO BOT,no-chat-widget,Tawk.to,
acupuncture.org.uk,NO BOT,not-probed,,
adamley.co.uk,NO BOT,not-probed,,
adanola.com,BUTTONS BOT,menu-only-no-freetext,DigitalGenius,
adnams.co.uk,BUTTONS BOT,menu-only-no-freetext,,
aduna.com,NO BOT,no-chat-widget,,
adventurelanding.com,NO BOT,not-probed,,
afarley.co.uk,NO BOT,no-chat-widget,Richpanel,
age-of-innocence.com,NO BOT,no-chat-widget,,
agespace.org,NO BOT,not-probed,,
agiliosoftware.com,NO BOT,no-chat-widget,,
ahandtailoredsuit.com,NO BOT,no-chat-widget,,
airpowerproducts.co.uk,NO BOT,not-probed,,
akdfurniture.co.uk,NO BOT,no-chat-widget,,
aktlondon.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi. We’d love to help track this down for you, but we need you to log in first so we can access your order details. Verify order details"
alanpaine.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can look up your latest order and check its status for you 🙂 Verify order details"
alara.co.uk,NO BOT,not-probed,,
alexmonroe.com,NO BOT,no-chat-widget,,
aligne.co,NO BOT,no-chat-widget,Gorgias,
alisongardiner.co.uk,NO BOT,not-probed,,
allclothing.co.uk,NO BOT,not-probed,,
allenbrothers.co.uk,NO BOT,no-chat-widget,,
allplants.com,NO BOT,no-chat-widget,,
alltheanime.com,NO BOT,no-chat-widget,,
allthingstennis.co.uk,NO BOT,no-chat-widget,,
alpinegardensociety.net,NO BOT,not-probed,,
alpkit.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
americanconcrete.org,NO BOT,not-probed,,
ameriprac.com,NO BOT,not-probed,,
ammf.org.uk,NO BOT,not-probed,,
amoslighting.co.uk,NO BOT,no-chat-widget,,
analoguewonderland.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"Thanks for getting in touch. To check your order status, please log in to your account first so we can look up your order for you 🙂 Verify order details"
anaphylaxis.org.uk,BUTTONS BOT,menu-only-no-freetext,,
andark.co.uk,NO BOT,no-chat-widget,,
angelcomedy.co.uk,NO BOT,not-probed,,
angels-face.co.uk,NO BOT,no-chat-widget,,
angesdesucre.com,NO BOT,no-chat-widget,,
anglepoise.com,NO BOT,not-probed,,
angliandental.co.uk,NO BOT,not-probed,,
