Domain,Company,company_clean,public_emails_clean,Industry Groups,Employees,City,State,Country,Description,Plan,Revenue Est Monthly,Store Age Years,Product Count,App Spend Mo,Key Apps,Tech Stack,Trustpilot Rating,Trustpilot Reviews,Migrated From,Social Followers,Features,segment,query_name,ingested_at,Source,MV P0,BB,Final Email,Status,Israeli DTC Shopify 10k+ - Contacts - 2026-07-19
mifold.com,Mifold,Mifold,support@mifold.com,,3,Petah Tikva,Center District,IL,"Explore and shop the range of Mifold compact, safe and portable car booster seats. Ideal for travel, Mifold grab-and-go car boosters provide compact and portable safety. Mifold is the world's most compact and portable car booster and Hifold the fit-and-fold booster is the world's most adjustable highback car booster.",,405921,7.1,8,205,"Accessibly, Avada AI SEO Image Optimizer, Awin ‑ Affiliate Marketing, Amp: Back in Stock & PreOrder+, Cartly Abandoned Cart Recovery","AWIN, Apple Pay, Arrive, Cloudflare, Cloudflare CDN",,,,X 3.2k / PIN 1.2k / YT 1.4k,"FAQ Page, Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"markmifold.com,mattmifold.com"
footlocker.co.il,Foot Locker,Foot Locker,"flsupport@footlocker.co.il, https://www.tiktok.com/@footlocker.il, flservice2@footlocker.co.il",/Apparel/Footwear,10998,,,IL,היעד שלכם למותגי הסניקרס והאופנה הבינלאומיים הכי נחשקים. קולקציות בלעדיות ועדכניות שאין להשיג בשום מקום אחר. משלוח מהיר מהיום למחר.,Shopify Plus,642708,4.7,3142,199,"Amp: Back in Stock & PreOrder+, GOAFFPRO ‑ Affiliate Marketing, Instafeed ‑ Instagram Feed, Microsoft Clarity: AI Insights, Restock Alert & Waitlist ‑Mini","Arrive, Cloudflare, Cloudflare CDN, Flashy, GoAffPro",,,,TT 30k,"Brands Page, Shopify Online Store 2.0, Cryptocurrency Messaging, Has iOS App, Has Android App",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
megasport.co.il,Mega-Sport,Mega-Sport,"support@megasport.co.il, support@megsport.co.il",/Apparel/Athletic Apparel | /Sports,36,Holon,Center District,IL,"מגה ספורט היא רשת חנויות הספורט המובילה בישראל. הרשת פרוסה בכל רחבי הארץ עם מעל 80 חנויות ספורט. היכנסו לרכישת מוצרי ספורט, ציוד ספורט, נעליים ועוד!",Shopify Plus,458629,3.3,1952,15,"Adoric Bundles Volume discount, AdScale AI Ads Meta/Google Ads, Shopify Checkout Blocks, EG Auto Add to Cart Free Gift, Microsoft Clarity: AI Insights","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,magento (2025),,"Shopify Online Store 2.0, Has Android App, Has iOS App, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
nsfw.tools,NSFW AI Tools,NSFW AI Tools,contact@nsfw.tools,/Adult,,Or Yehuda,Tel Aviv District,IL,"Get ready to explore the hottest NSFW AI tools and apps available on NSFW.tools. From personal digital companions to virtual reality experiences, our platform connects you with the top AI nsfw tools for experiencing adult entertainment in whole new ways. Indulge in a world of fantasy, intimacy, and adult entertainment.",,449892,2.4,1022,,"Blockify Fraud Filter, Blocker, Blockify Age Verification 18+, Klaviyo: Email Marketing & SMS, Synctrack PayPal Tracking Sync","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,,X 1.1k,"Shopify Online Store 2.0, Cryptocurrency Messaging, Product Page Video Tag, New Shopify Checkout (2022), Contact Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
sabinamusayev.com,sabinamusayev.com,sabinamusayev.com,online@sabinamusayev.com,/Apparel,,Kefar Sava,Center District,IL,"The essence of SABINA MUSAYEV is to create high-quality, beautifully cut pieces that can be worn forever. The collections are well balanced with sophisticated, casual, and comfortable styles alongside glamorous evening looks for holidays and special events.",,333704,9.3,1467,150,"Klaviyo: Email Marketing & SMS, Oxi Social Login & Wishlist, Product Reviews, ReturnGO Returns & Exchanges","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, GoDaddy Email",,,,,"Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,sabinamusayevsabinamusayev.com
homecenter.co.il,www.homecenter.co.il,www.homecenter.co.il,"https://www.tiktok.com/@homecenter_israel, bestservice@homecenter.co.il",/Home & Garden/Home Improvement,2673,Rishon LeTsiyon,Center District,IL,"רשת הום סנטר הינה הרשת הגדולה והמובילה בתחום שיפור שדרוג ותחזוקת הבית בישראל. ניתן למצוא מוצרים במגוון מחלקות: חשמל ואלקטרוניקה, גינה וקמפינג, ריהוט לבית ועוד",Shopify Plus,1068425,9.6,22275,156,"Adoric Bundles Volume discount, Adoric Popup & Email Popups, Also Bought CBB, Amp: Back in Stock & PreOrder+, Discount Ninja Promo Engine","Afterpay, Arrive, Bing Ads, Cloudflare, Cloudflare CDN",,,,TT 9.1k,"Shopify New Customer Accounts, Career Page, Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"eranshusterhomecenter.co.il,cohenhomecenter.co.il,eligidorhomecenter.co.il,eyalfishmanhomecenter.co.il"
americanlegendrider.com,American Legend Rider,American Legend Rider,"support@americanlegendrider.com, communication@americanlegendrider.com",/Autos & Vehicles/Motor Vehicles/Motorcycles & Scooters | /Apparel,,Be'er Sheva,South District,IL,"One-stop-shop for bikers gear. Excellent designs and quality at great price. The ""hidden gem"" online store you've been longing to find. Gear-up time! Shop now.",,372454,9.4,1130,64,"17TRACK Order Tracking, AfterShip Order Tracking, BUCKS Currency Converter PRO++, Kaching Bundles App & Upsells, Bundler ‑ Product Bundles App","Afterpay, Aftership, Apple Pay, Arrive, Cloudflare",2.0,587,,,"Tracking Page, Shopify Online Store 2.0, International Shipping, Free Returns, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,marvinpadayhagamericanlegendrider.com
storyonline.co.il,story סטורי אונליין,story סטורי אונליין,"office@docommerce.online, service@storyonline.co.il, https://www.tiktok.com/@wearestoryonline",/Apparel,,Tel Aviv-Yafo,Tel Aviv District,IL,"בסטורי אונליין, תוכלו למצוא מעל למאה מותגי אופנה ולייף סטייל מרחבי העולם שנבחרו בקפידה לקנייה ישירה: ג'ינסים, שמלות, נעליים, אקססוריז ועוד, לגברים, נשים וילדים.",Shopify Plus,329654,9.6,3116,469,"Adoric Bundles Volume discount, Preorder, Back In Stock ‑ STOQ, Checkout Buddy, WF ‑ Compare At Amount, Powerful Contact Form Builder","Arrive, Bing Ads, Cloudflare, Cloudflare CDN, Criteo",,,,,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Tracking or Returns, Returns Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
rippleyogawear.com,Ripple Yoga Wear,Ripple Yoga Wear,"info@rippleyogawear.com, ambassadors@rippleyogawear.com, wholesale@rippleyogawear.com",/Beauty & Fitness/Fitness | /Apparel/Athletic Apparel,1,Pardes Hanna-Karkur,Haifa District,IL,"Ethically made, non-toxic yoga clothing crafted from organic cotton and Modal fabrics that breathe with you. Sustainable apparel from studio to street.",,314637,9.6,312,330,"Accessibly, Adoric Bundles Volume discount, Adoric Popup & Email Popups, AdScale AI Ads Meta/Google Ads, WebRex Multi Announcement Bar","Arrive, Cloudflare, Cloudflare CDN, Connectif, Criteo",3.5,12,,PIN 3,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
fox.co.il,fox.co.il,fox.co.il,https://www.tiktok.com/@fox.israel,/Apparel,,,,IL,"חנות האונליין של FOX. פוקס הוא מותג האופנה המוביל בישראל, עם חנויות המספקות אופנת קז'ואל-בייסיק לנשים, גברים, ילדים ותינוקות.",Shopify Plus,420783,5.6,5459,89,"Casper ‑ Persistent Cart Sync, GOAFFPRO ‑ Affiliate Marketing, Lucky Orange Heatmaps & Replay, Microsoft Clarity: AI Insights, PrettyDamnQuick (PDQ)","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,,TT 33k,"Store Locator Page, Shopify Online Store 2.0, Has Android App, Has iOS App, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"gofferfox.co.il,poratfox.co.il,levifox.co.il"
