Domain,Company,Employees,Industry Groups,City,State,Country,ContaGen Contacts,Build Date,Run ID
frontendonly.com,,,,,,,0,2026-08-11,3415
cloudonex.com,,,,,,,0,2026-08-11,3415
licensechain.app,,,,,,,0,2026-08-11,3415
meshcloud.io,Meshcloud,11-50,"CLOUD_COMPUTING:0.87, SAAS:0.62",Frankfurt am Main,HE,DE,3,2026-08-11,3415
frontgate.app,,,,,,,0,2026-08-11,3415
r2ware.dev,,,,,,,0,2026-08-11,3415
sb-software.co.uk,,,,,,,0,2026-08-11,3415
workfloo.ws,,,,,,,0,2026-08-11,3415
asraaz.com,,,,,,,0,2026-08-11,3415
ve.ai,Ve,11-50,SAAS:0.98,Dover,TS,US,2,2026-08-11,3415
saloncloudsplus.com,,,,,,,0,2026-08-11,3415
stacks.site,,,,,,,0,2026-08-11,3415
eazy2build.com,,,,,,,0,2026-08-11,3415
erpstacks.com,,,,,,,0,2026-08-11,3415
lingering.io,,,,,,,0,2026-08-11,3415
portfoliostack.com,,,,,,,0,2026-08-11,3415
hubb.io,,,,,,,0,2026-08-11,3415
we0.ai,,,,,,,0,2026-08-11,3415
stadium.software,,,,,,,0,2026-08-11,3415
flowstep.com,FlowStep Tech Pty,1-10,SAAS:0.95,North Bondi,NSW,AU,1,2026-08-11,3415
jentis.com,Jentis,11-50,SAAS:0.98,"Wien, Meidling",9,AT,3,2026-08-11,3415
fabbuilder.com,,,,,,,0,2026-08-11,3415
vobesoft.com,VobeSoft,11-50,SAAS:0.97,Kleve,NB,DE,2,2026-08-11,3415
askdragonfly.com,Dragonfly,1-10,"BIG_DATA_AND_ANALYTICS:0.71, SAAS:0.96",Lugoj,TM,RO,3,2026-08-11,3415
1msg.io,,,,,,,0,2026-08-11,3415
mosanic.io,,,,,,,0,2026-08-11,3415
mustard.so,,,,,,,0,2026-08-11,3415
whitebox.digital,,,,,,,0,2026-08-11,3415
typedcms.com,,,,,,,0,2026-08-11,3415
planship.io,Planship,1-10,SAAS:1.0,Spokane,OR,US,2,2026-08-11,3415
ideamart.io,,,,,,,0,2026-08-11,3415
pinboard.ai,,,,,,,0,2026-08-11,3415
webhostflow.com,,,,,,,0,2026-08-11,3415
winningstrategy.ai,Winning Strategy,1-10,"BIG_DATA_AND_ANALYTICS:0.67, SAAS:0.93",Mumbai,MH,IN,1,2026-08-11,3415
smarttask.io,SmartTask,1-10,SAAS:0.98,,GJ,IN,1,2026-08-11,3415
replyhawk.com,,,,,,,0,2026-08-11,3415
subbly.dev,,,,,,,0,2026-08-11,3415
enon.com,,,,,,,0,2026-08-11,3415
ganixai.com,GanixAI,1-10,SAAS:0.93,Dover,HR,US,2,2026-08-11,3415
alpineventuresdemo.com,,,,,,,0,2026-08-11,3415
qfloo.com,,,,,,,0,2026-08-11,3415
testclix.com,,,,,,,0,2026-08-11,3415
automa.co.in,,,,,,,0,2026-08-11,3415
cohorthq.app,,,,,,,0,2026-08-11,3415
webcat.app,Webcat,1-10,SAAS:0.93,Chapinero 34 110231,,CO,1,2026-08-11,3415
connectycube.com,,,,,,,0,2026-08-11,3415
sitesdoneright.app,,,,,,,0,2026-08-11,3415
encore.dev,Encore,1-10,"CLOUD_COMPUTING:0.93, SAAS:0.57",Stockholm,AB,SE,3,2026-08-11,3415
913hq.com,,,,,,,0,2026-08-11,3415
thinger.io,Thinger,1-10,"SAAS:1.0, SOFTWARE:0.51",Las Rozas De Madrid,MD,ES,2,2026-08-11,3415
