Domain,Company,Employees,Industry Groups,City,State,Country,ContaGen Contacts,Build Date,Run ID
citizen.health,Citizen Health,51-200,HEALTHCARE:0.88,San Francisco,CA,US,5,2026-08-11,3397
temper.works,Temper,11-50,"SAAS:0.6, HUMAN_RESOURCES:0.98",Amsterdam,NH,NL,5,2026-08-11,3397
isotronic.de,Isotronic,1-10,"SAAS:0.8, MANUFACTURING:0.89, PHARMACEUTICALS:0.85",Berlin,BE,DE,1,2026-08-11,3397
archon.pl,,,,,,,0,2026-08-11,3397
esh-sn.de,,,,,,,0,2026-08-11,3397
urun.co.kr,,,,,,,0,2026-08-11,3397
airwayz.com,,,,,,,0,2026-08-11,3397
blue.me,,,,,,,0,2026-08-11,3397
kaio.ai,,,,,,,0,2026-08-11,3397
knownagency.com,Known,1-10,ADVERTISING_AND_MARKETING:0.94,Richmond,VA,US,1,2026-08-11,3397
ivo.it,,,,,,,0,2026-08-11,3397
blaxel.ai,Blaxel,1-10,CLOUD_COMPUTING:0.99,San Francisco,NY,US,3,2026-08-11,3397
italiancyberteam.it,,,,,,,0,2026-08-11,3397
portaldaindustria.com.br,Portal da Indstria,501-1000,"EDUCATION:0.88, GOVERNMENT_SERVICES:0.56",Brasília de Minas,DF,BR,5,2026-08-11,3397
reindeer.ai,Reindeer AI,11-50,SAAS:0.96,,CA,US,2,2026-08-11,3397
rainforest.com,,,,,,,0,2026-08-11,3397
kestra.io,Kestra,51-200,"SAAS:0.89, SOFTWARE:0.98",La Madeleine,TX,FR,5,2026-08-11,3397
e2b.co,,,,,,,0,2026-08-11,3397
artisanai.io,,,,,,,0,2026-08-11,3397
joyfulhealth.com,Joyful Health,1-10,"SAAS:0.5, HEALTHCARE:0.92",Eras,NY,GB,2,2026-08-11,3397
fundamental.bg,,,,,,,0,2026-08-11,3397
spurstaffing.com,Spur,201-500,"EDUCATION:0.85, HUMAN_RESOURCES:0.96",Huntsville,PA,US,3,2026-08-11,3397
julius.ph,,,,,,,0,2026-08-11,3397
tenex.com,,,,,,,0,2026-08-11,3397
triomics.com,Triomics,51-200,"SAAS:0.98, HEALTHCARE:0.8",New York,TS,US,5,2026-08-11,3397
oasis-security.io,,,,,,,0,2026-08-11,3397
mendral.com,Mendral,1-10,"SAAS:0.97, CYBERSECURITY:0.62",San Francisco,CA,US,1,2026-08-11,3397
heliusit.net,,,,,,,0,2026-08-11,3397
digger.ngo,,,,,,,0,2026-08-11,3397
marketerx.com,,,,,,,0,2026-08-11,3397
cumuluslabs.io,,,,,,,0,2026-08-11,3397
ciroos.ai,Ciroos,11-50,SAAS:0.91,Pleasanton,CA,US,2,2026-08-11,3397
irregular.com,Irregular,11-50,CYBERSECURITY:0.87,A,,US,4,2026-08-11,3397
govsignal.com,,,,,,,0,2026-08-11,3397
zeroport.com,Zeroport,11-50,CYBERSECURITY:0.96,London,ENG,GB,1,2026-08-11,3397
litellm.ai,LiteLLM,1-10,"SAAS:0.75, SOFTWARE:0.98",San Francisco,CA,US,1,2026-08-11,3397
vizcom.com,,,,,,,0,2026-08-11,3397
govwell.com,GovWell,51-200,"SAAS:0.95, GOVERNMENT_SERVICES:0.97",Sydney,NY,IE,3,2026-08-11,3397
hud.ac.uk,University of Huddersfield,1001-5000,EDUCATION:0.99,Huddersfield,ENG,GB,5,2026-08-11,3397
nectar.com,,,,,,,0,2026-08-11,3397
enum.co,,,,,,,0,2026-08-11,3397
buildbuddy.io,BuildBuddy,11-50,"SAAS:0.92, CLOUD_COMPUTING:0.52",Palo Alto,NY,US,4,2026-08-11,3397
iamops.io,Iamops,51-200,"IT_SERVICES:0.97, CYBERSECURITY:0.82",Gavier,,IN,5,2026-08-11,3397
finebite.co,,,,,,,0,2026-08-11,3397
scalis.com,,,,,,,0,2026-08-11,3397
pavebank.com,Pave Bank,11-50,FINANCIAL_SERVICES:0.89,Tbilisi,GA,GE,4,2026-08-11,3397
clera.cl,,,,,,,0,2026-08-11,3397
mondrio.io,,,,,,,0,2026-08-11,3397
conceal.network,,,,,,,0,2026-08-11,3397
nexus.edu.sg,Nexus International School (Singapore),201-500,EDUCATION:0.99,Aljunied Walk,00,SG,1,2026-08-11,3397
nuclearn.com,,,,,,,0,2026-08-11,3397
nymblscience.com,Nymbl Science,11-50,"SAAS:0.7, WELLNESS_AND_LIFESTYLE:0.92",Denver,CO,US,5,2026-08-11,3397
jenni.ai,Jenni,11-50,"SAAS:0.99, EDUCATION:0.88",Wilmington,ENG,US,5,2026-08-11,3397
phonely.co.uk,Phonely,11-50,TELECOMMUNICATIONS:0.93,Norwich,ENG,GB,1,2026-08-11,3397
millpont.com,MillPont,1-10,"SAAS:0.94, ENVIRONMENTAL_SERVICES:0.81",,IA,US,3,2026-08-11,3397
pinatafiestas.com,,,,,,,0,2026-08-11,3397
ijoin.com.br,,,,,,,0,2026-08-11,3397
infiniaml.com,Infinia ML,11-50,"SAAS:0.95, HEALTHCARE:0.95",Durham,NC,US,5,2026-08-11,3397
leosight.com,LeoSight,11-50,"SAAS:0.86, GOVERNMENT_SERVICES:0.94",Dallas,IN,US,2,2026-08-11,3397
sourcepoint.com,Sourcepoint,11-50,"SAAS:0.99, CYBERSECURITY:0.51",London,CA,GB,5,2026-08-11,3397
cobo.com,Cobo,51-200,"SAAS:0.84, BLOCKCHAIN_AND_CRYPTOCURRENCY:0.97",Central,,SG,4,2026-08-11,3397
copysmith.ai,Copysmith,11-50,ADVERTISING_AND_MARKETING:0.95,Sacramento,AZ,US,3,2026-08-11,3397
bedrocksystems.co.uk,Bedrock Systems,1-10,"SOFTWARE:0.69, IT_SERVICES:0.72, FINANCIAL_SERVICES:0.64",Yorks,ENG,GB,1,2026-08-11,3397
