email,first_name,last_name,address_line,city,state,country,country_code,phone_number,job_title,department,company_name,company_website,industry,linkedin_person_url,linkedin_company_url,sender_acc_email,replied_count,opened_count,email_verification_result,custom_timezone,custom_qualification_status,custom_icp_score,custom_decision_maker_status,custom_dm_name,custom_dm_role,custom_qualification_brief_markdown,status,label,is_mx,mx,bounce_desc,created_at,modified_at
a2bbend@a2bmoving.net,,,,,,,,,,,A2B Moving & Storage,,,,,sarahjohnson.b@withmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.874Z,2026-06-08T12:56:59.763Z
aaron@asfservices.ca,,,,,,,,,,,A Step Forward Senior Moving,,,,,jakemiller.b@moveplnrapp.com,0,0,not verified,,,,,,,,COMPLETED,,1,REGULAR_ACCOUNT,,2026-05-30T19:39:34.874Z,2026-06-09T11:38:19.231Z
aaron@lifestylesmoving.com,,,,,,,,,,,Lifestyles Moving,,,,,chrisdavis.a@moveplnrapp.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.874Z,2026-06-08T13:18:34.035Z
abu@amazonvanlines.com,,,,,,,,,,,Amazon Van Lines,,,,,tomwilson.e@moveplnrteam.com,0,0,not verified,,,,,,,,COMPLETED,,1,MICROSOFT365,,2026-05-30T19:39:34.875Z,2026-06-10T11:08:09.895Z
accounting@magnummoving.com,,,,,,,,,,,Magnum Moving & Storage,,,,,tomwilson.c@meetmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.875Z,2026-06-08T11:57:12.960Z
accounting@shawnandshawnmoving.com,,,,,,,,,,,Shawn & Shawn Moving,,,,,mikecarter.j@moveplnrhq.com,1,0,not verified,,,,,,,,REPLIED,NOT_INTERESTED,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.875Z,2026-06-01T11:02:36.627Z
accountmanager@vodstorage.com,,,,,,,,,,,Vodstorage,,,,,jakemiller.b@moveplnrteam.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.875Z,2026-06-09T12:40:54.060Z
admin@1stclassrelocation.com,,,,,,,,,,,First Class Relocation,,,,,jakemiller.e@moveplnrapp.com,0,0,not verified,,,,,,,,COMPLETED,,1,REGULAR_ACCOUNT,,2026-05-30T19:39:34.876Z,2026-06-10T11:09:09.657Z
admin@altastorage.ca,,,,,,,,,,,Alta Storage,,,,,tomwilson.j@moveplnrapp.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.876Z,2026-06-08T12:24:48.004Z
admin@applemovinghouston.com,,,,,,,,,,,Apple Moving Houston,,,,,tomwilson.e@moveplnrhq.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.877Z,2026-06-09T11:24:35.728Z
admin@bettybrigade.com,,,,,,,,,,,The Betty Brigade,,,,,tomwilson.j@bookmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.877Z,2026-06-09T11:34:34.827Z
admin@brazosmovers.com,,,,,,,,,,,Brazos Movers,,,,,chrisdavis.f@moveplnrpro.com,0,0,not verified,,,,,,,,COMPLETED,,1,MICROSOFT365,,2026-05-30T19:39:34.877Z,2026-06-09T11:25:32.403Z
admin@getstartedhomeservices.com,,,,,,,,,,,Get Started Home Services,,,,,jakemiller.c@moveplnrhq.com,1,0,not verified,,,,,,,,REPLIED,NOT_INTERESTED,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.877Z,2026-06-03T12:16:10.595Z
admin@highqualitymoving.net,,,,,,,,,,,High Quality Moving,,,,,sarahjohnson.b@moveplnrteam.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.878Z,2026-06-09T11:31:57.268Z
admin@knockoutmoversne.com,,,,,,,,,,,Knockout Movers,,,,,mikecarter.h@withmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,MICROSOFT365,,2026-05-30T19:39:34.878Z,2026-06-08T12:56:49.287Z
admin@moverbradenton.com,,,,,,,,,,,Mover Bradenton,,,,,jakemiller.d@moveplnrapp.com,0,0,not verified,,,,,,,,COMPLETED,,1,REGULAR_ACCOUNT,,2026-05-30T19:39:34.878Z,2026-06-08T12:47:03.603Z
admin@nonstopmoving.co,,,,,,,,,,,Nonstop Moving,,,,,tomwilson.i@moveplnrapp.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.879Z,2026-06-08T12:51:24.350Z
admin@onlinemovers.miami,,,,,,,,,,,Online Movers & Storage Miami,,,,,jakemiller.f@moveplnrpro.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.879Z,2026-06-09T11:39:12.009Z
admin@packmenusa.com,,,,,,,,,,,,,,,,tomwilson.d@withmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.879Z,2026-06-08T12:35:40.846Z
admin@powermovers.com,,,,,,,,,,,Power Movers,,,,,jakemiller.a@withmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,MICROSOFT365,,2026-05-30T19:39:34.879Z,2026-06-09T12:28:33.638Z
admin@realpromovers.com,,,,,,,,,,,,,,,,jakemiller.j@moveplnrpro.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.879Z,2026-06-08T12:40:40.129Z
administrator@onthegomovingstorage.com,,,,,,,,,,,On The Go Moving & Storage,,,,,tomwilson.e@moveplnrapp.com,0,0,not verified,,,,,,,,COMPLETED,,1,REGULAR_ACCOUNT,,2026-05-30T19:39:34.880Z,2026-06-09T11:29:49.140Z
adminlrg@lrgmovers.com,,,,,,,,,,,LRG Movers,,,,,tomwilson.f@moveplnrapp.com,0,0,not verified,,,,,,,,BOUNCED,,1,GOOGLE_WORKSPACE,"** Address not found **

Your message wasn't delivered to adminlrg@lrgmovers.com because the address couldn't be found, or is unable to receive mail.

Learn more here: https://support.google.com/mail/?p=NoSuchUser

The response was:

The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information, go to https://support.google.com/mail/?p=NoSuchUser

Reporting-MTA: dns; googlemail.com
Received-From-MTA: dns; tomwilson.f@moveplnrapp.com
Arrival-Date: Mon, 01 Jun 2026 04:03:49 -0700 (PDT)
X-Original-Message-ID: <5f6b7dcf-af22-de8f-4414-5d51370af278@moveplnrapp.com>

Final-Recipient: rfc822; adminlrg@lrgmovers.com
Action: failed
Status: 5.1.1
Diagnostic-Code: smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information, go to https://support.google.com/mail/?p=NoSuchUser
Las",2026-05-30T19:39:34.880Z,2026-06-01T11:07:22.258Z
aidenwells@wellsmoves.com,,,,,,,,,,,Wells Moving,,,,,sarahjohnson.f@moveplnrhq.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.880Z,2026-06-08T11:55:19.023Z
alerts@storelocal.com,,,,,,,,,,,,,,,,sarahjohnson.d@meetmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.880Z,2026-06-09T12:40:04.612Z
alex@6thmanmovers.com,,,,,,,,,,,6th Man Movers,,,,,mikecarter.b@moveplnrhq.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.881Z,2026-06-08T13:21:05.326Z
alex@rapidpackout.com,,,,,,,,,,,Rapid Packout,,,,,mikecarter.i@moveplnrpro.com,0,0,not verified,,,,,,,,COMPLETED,,1,REGULAR_ACCOUNT,,2026-05-30T19:39:34.881Z,2026-06-08T12:01:23.704Z
alexandria@letsgetmovingusa.com,,,,,,,,,,,Let's Get Moving,,,,,sarahjohnson.c@moveplnrpro.com,0,0,not verified,,,,,,,,COMPLETED,,1,MICROSOFT365,,2026-05-30T19:39:34.881Z,2026-06-08T12:46:50.007Z
allpromoving@gjmovers.com,,,,,,,,,,,All Pro Moving,,,,,mikecarter.i@moveplnrteam.com,0,0,not verified,,,,,,,,COMPLETED,,1,MICROSOFT365,,2026-05-30T19:39:34.881Z,2026-06-08T12:31:21.200Z
amanda@amandahart.net,,,,,,,,,,,,,,,,chrisdavis.i@moveplnrhq.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.882Z,2026-06-08T12:00:29.363Z
amanda@happysort.com,,,,,,,,,,,Happy Sort,,,,,tomwilson.h@withmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,MICROSOFT365,,2026-05-30T19:39:34.882Z,2026-06-08T12:02:23.228Z
amason@jitmoving.com,,,,,,,,,,,Just-In Time Moving & Storage,,,,,jakemiller.j@meetmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,MICROSOFT365,,2026-05-30T19:39:34.882Z,2026-06-08T12:53:52.392Z
amy@amyporterfield.com,,,,,,,,,,,,,,,,sarahjohnson.j@withmoveplnr.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.882Z,2026-06-08T12:51:59.189Z
amy@lastingorder.net,,,,,,,,,,,Lasting Order Organizing,,,,,mikecarter.a@moveplnrteam.com,0,0,not verified,,,,,,,,COMPLETED,AUTOMATIC_REPLY,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.883Z,2026-06-01T11:15:22.172Z
andrea@smartlyorganized.com,,,,,,,,,,,Smartly Organized,,,,,jakemiller.c@moveplnrteam.com,0,0,not verified,,,,,,,,COMPLETED,,1,GOOGLE_WORKSPACE,,2026-05-30T19:39:34.883Z,2026-06-08T12:55:04.674Z
