Domain,query_name,segment,Name,company_clean,icp_fit,industry_groups,business_model,Score,similarity,revenue_range,employees,start_date,City,State,Country,phones,public_emails,description,batch_id,emails_ok_count,emails_catchall_count,contacts_with_ok,reachable_status,public_emails_clean,ingested_at,Final Email,MV,BB,Status
smileymovers.com,General Moving Companies in US / CA,has_public,Smiley Movers,Smiley Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.77",35,,1-10M,1-10,2024-03-18,New York,NY,US,+19292950125,"sales@smileymovers.com, alex@smileymovers.com","Smiley Movers is a moving company based in New York City that offers local, long-distance, and last-minute moving services. Their main functionality includes providing professional packing, storage solutions, and furniture disassembly for moves of all sizes. They offer a flat rate quote system with no hidden fees, reliable truck handling across the East Coast, and an app platform for efficient move management. Smiley Mo Moving aims to simplify the moving process by simplifying processes and ensu",moveplnr-2026-05-29-companies-batch100-1,0,2,0,catchall_only,"alex@smileymovers.com, sales@smileymovers.com",2026-05-29,alex@smileymovers.com,catch_all,deliverable,done
smallmovesvancouver.com,General Moving Companies in US / CA,has_public,Small Moves Vancouver,Small Moves Vancouver,yes,CONSUMER_SERVICES:0.99,"B2B:0.91, B2C:0.85, B2G:0.98",30,,1-10M,1-10,2022-05-18,Vancouver,BC,CA,+16048002715,info@smallmovesvancouver.com,"Small Moves Vancouver is a local moving company that offers professional moving services for residential, corporate, and government moves across the Vancouver Lower Mainland. They provide tailored moving solutions for various needs, including studio apartments, family homes, and large-scale relocations, with a fleet of trucks and flexible crew sizes. The company emphasizes customer service, professionalism, and safety, ensuring that all movers are licensed and insured to handle safe and efficien",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,info@smallmovesvancouver.com,2026-05-29,info@smallmovesvancouver.com,catch_all,deliverable,done
cargocabbie.ca,General Moving Companies in US / CA,has_public,CARGO CABBIE,CARGO CABBIE,yes,CONSUMER_SERVICES:0.99,"B2B:0.92, B2C:0.82",89,,1-10M,11-50,2018-02-14,Etobicoke,ON,CA,"+16474785422, +16474787920, +18558222243","media@cargocabbie.ca, info@cargocabbie.ca, privacy@semrush.com","CARGO CABBIE is a professional moving company based in Toronto that offers a range of moving and storage services for both home and office moves. Their main functionalities include packing, transporting, and storing belongings such as furniture and art, with options for express move arrangements and specialized furniture assembly. They also provide eco-friendly moving supplies like plastic bins and have over 20 years of experience in the industry, ensuring efficient and reliable moving solutions",moveplnr-2026-05-29-companies-batch100-1,0,2,0,catchall_only,"info@cargocabbie.ca, media@cargocabbie.ca",2026-05-29,info@cargocabbie.ca,catch_all,deliverable,done
longdistanceusamovers.com,General Moving Companies in US / CA,has_public,Long Distance USA Movers,Long Distance USA Movers,yes,"CONSUMER_SERVICES:0.94, SUPPLY_CHAIN_AND_PROCUREMENT:0.06",B2C:0.94,318,,10-100M,1-10,2017-01-17,Seattle,WA,US,"+12063978702, +18772993827",info@longdistanceusamovers.com,"Long Distance USA Movers is a moving service that offers a range of solutions for long-distance moves across the U.S. Their main functionalities include auto transport, packing services, moving insurance, and storage solutions. They provide professional packing with various packaging options like moving blankets and bubble wrap, as well as climate-controlled storage units to protect items during the move. The company emphasizes transparent pricing, customer support throughout the relocation proc",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,info@longdistanceusamovers.com,2026-05-29,info@longdistanceusamovers.com,catch_all,deliverable,done
move4u.ca,General Moving Companies in US / CA,has_public,Move 4 U,Move 4 U,yes,CONSUMER_SERVICES:1.0,"B2B:0.67, B2C:0.97",51,,1-10M,11-50,2024-08-19,London,ON,CA,"+12262197039, +12267816242, +12894089994, +12265551234, +13656550849","hamilton@move4u.ca, london@move4u.ca, info@move4u.ca, kyle@move4u.ca","Move 4 U is a moving company based in London and Hamilton, Ontario, specializing in residential and commercial moves. They offer services such as packing, heavy lifting, furniture protection, and secure storage options through their partnership with Green Storage. The company provides all necessary move-related costs, including truck, fuel, and travel included, ensuring a smooth experience for customers. Their trained team handles everything from packing and unpacking to damage repair or replace",moveplnr-2026-05-29-companies-batch100-1,0,4,0,catchall_only,"hamilton@move4u.ca, info@move4u.ca, kyle@move4u.ca, london@move4u.ca",2026-05-29,hamilton@move4u.ca,catch_all,deliverable,done
movingbrothers.ca,General Moving Companies in US / CA,has_public,The Moving Brothers,The Moving Brothers,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.98",43,,1-10M,11-50,2021-06-01,Toronto,ON,CA,+16472926683,info@movingbrothers.ca,"Moving Brothers is a professional moving company based in the Greater Toronto Area that offers a range of services for both residential and long-distance moves. Their main functionality includes packing, transporting, unpacking, unloading, and placing belongings securely. Key features include personalized moving plans, 24/7 customer support, specialized packing materials, and a commitment to ensuring the safety and security of fragile items during transit. They also provide furniture assembly an",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,info@movingbrothers.ca,2026-05-29,info@movingbrothers.ca,catch_all,deliverable,done
torontoumoving.com,General Moving Companies in US / CA,has_public,Toronto Unique Moving,Toronto Unique Moving,yes,CONSUMER_SERVICES:0.98,"B2B:0.98, B2C:0.91",87,,1-10M,1-10,2023-04-10,Scarborough,ON,CA,+16475018214,info@torontoumoving.com,"Toronto Moving is a moving company that offers residential, commercial, and junk removal services in the Greater Toronto Area (GTA). They provide comprehensive moving support for homeowners and businesses, including packing, unpacking, storage, and safe relocation. Their team handles all aspects of the move, ensuring a smooth transition from packing to unloading, and specializes in junk removal for furniture and appliances. The company also offers specialized services like piano moving and logis",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,info@torontoumoving.com,2026-05-29,info@torontoumoving.com,catch_all,deliverable,done
speeditmoving.ca,General Moving Companies in US / CA,has_public,Speed It Moving & Delivery,Speed It Moving & Delivery,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.99",51,,1-10M,1-10,2021-11-16,Ottawa,ON,CA,"+16132916374, +16136001472",book@speeditmoving.ca,"Speed It Moving is a professional moving company based in Ottawa that offers residential, long-distance, and commercial moving services. Their main functionality includes providing packing, unpacking, and delivery services for various types of belongings such as pianos and furniture. They focus on creating tailored moving plans, ensuring timely arrivals and customer satisfaction, and offer free estimates to help clients plan their moves effectively.",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,book@speeditmoving.ca,2026-05-29,book@speeditmoving.ca,catch_all,deliverable,done
neweramoving.ca,General Moving Companies in US / CA,has_public,New Era Moving Services,New Era Moving Services,yes,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.97",115,,1-10M,1-10,2019-01-28,Toronto,ON,CA,"+14164639372, +16479975481",inquiries@neweramoving.ca,"Toronto Movers is a moving service provider that offers residential and commercial relocation solutions. Their main functionalities include flat-rate moving, long-distance moving, packing services, and customized storage solutions. They focus on ensuring a smooth move experience for clients, offering transparent pricing, and providing expert assistance throughout the relocation process. The company serves various areas in Toronto and surrounding regions, including North York, Scarborough, and Mi",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,inquiries@neweramoving.ca,2026-05-29,inquiries@neweramoving.ca,catch_all,deliverable,done
bluestonemovers.com,General Moving Companies in US / CA,has_public,Blue Stone Movers,Blue Stone Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.98",44,,1-10M,11-50,2022-01-17,Ottawa,ON,CA,+16138076948,info@bluestonemovers.com,"BlueStone Movers is a moving company based in Ottawa that offers residential and commercial relocation services. Their main functionality includes long-distance moving, packing, and specialized services for seniors and other clients. Key features include a streamlined moving process with clear quotes, on-time arrivals, safe storage solutions, and a commitment to customer satisfaction through reliable service and transparent pricing. They also provide free estimates and support throughout the mov",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,info@bluestonemovers.com,2026-05-29,info@bluestonemovers.com,catch_all,deliverable,done
