Name,Domain,Segment Description,Proximity,Segment Id,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,Customer Type,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status,AI assist
AAA Moovers & Warehousing,aaamoovers.com,Full-Service Moving and Storage,1,1,"CONSUMER_SERVICES:0.46, SUPPLY_CHAIN_AND_PROCUREMENT:0.44","B2B:0.98, B2C:0.94","residential moving:0.52, moovers home:0.51, aaa moovers:0.51, moovers warehousing:0.49, commercial moving:0.48, moving commercial:0.47, moving definitely:0.45, recommend moving:0.44, employment aaa:0.39, moving company:0.39, service residential:0.38, moving request:0.31, baton rouge:0.3, address city:0.28, truck unloading:0.26","The website offers moving and home services for both residential and commercial clients in Louisiana, specializing in efficient and bonded moves. It provides a range of services including packing, storage, unpacking, and delivery, with options for same-day or next-day service. The company emphasizes customer satisfaction and has over 30 years of experience in the industry, ensuring reliable support throughout the moving process. Users can request free quotes and schedule consultations through the site.",https://www.yelp.com/biz/aaa-moovers-lafayette,208,1-10M,1-10,2016-10-17,,Lafayette,LA,70501,US,+13373717655,info@aaamoovers.com,,2026-06-08,"{""B2B"": 0.98, ""B2C"": 0.94}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,AAA Moovers & Warehousing,has_public,info@aaamoovers.com,ok,skipped,info@aaamoovers.com,P0,done,Noticed that you’ve been handling moves in Lafayette since 2016 with a tight-knit team.
Polanski Moving,polanskimoving.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.97","moving polanski:0.69, moving toronto:0.63, polanski moving:0.63, toronto moving:0.62, residential moving:0.6, transfers polanski:0.59, toronto movers:0.57, moving services:0.55, commercial moving:0.53, moving corporate:0.53, professionals moving:0.5, international moving:0.49, moving pets:0.44, rvs moving:0.43, moving info:0.43","Polanski Moving is a moving company based in Toronto that offers residential, commercial, and international relocation services. Their main functionality includes providing stress-free moving solutions for individuals and businesses, with a focus on customer satisfaction and professional service. Key features include free estimates, experienced staff, and a commitment to timely and reliable support throughout the moving process.",https://www.linkedin.com/company/polanski-moving,113,<1M,1-10,2017-04-25,9 Arnold Street,Etobicoke,ON,M8Z 5A5,CA,"+14167660382, +18887660382",info@polanskimoving.com,,2026-06-08,"{""B2B"": 0.99, ""B2C"": 0.97}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Polanski Moving,has_public,info@polanskimoving.com,ok,skipped,info@polanskimoving.com,P0,done,"Noticed that you've been handling international moves out of Toronto since 2017 with a small, experienced team."
Chaz The Mover,chazthemover.com,Full-Service Moving and Storage,1,1,"CONSUMER_SERVICES:0.67, BUSINESS_PRODUCTS_AND_SERVICES:0.21","B2B:0.98, B2C:0.54","packing equipment:0.32, corporate environment:0.25, balance chaz:0.22, customer satisfaction:0.17, outstanding service:0.16, bubble wrap:0.1, personal touch:0.04","Chaz The Mover is a family-owned moving service that specializes in both residential and corporate moves. They provide packing equipment, packing instructions, and support to ensure efficient and stress-free moving experiences for clients, including companies like Storage Tech and Oracle. Their services include specialized moving for office relocations, flooring transfers, and general storage solutions, all tailored to meet the specific needs of each client.",,150,1-10M,1-10,2017-01-23,337 Massachusetts Ave,Berthoud,CO,80513,US,+13037098278,info@chazthemover.com,,2026-06-07,"{""B2B"": 0.98, ""B2C"": 0.54}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Chaz The Mover,has_public,info@chazthemover.com,ok,skipped,info@chazthemover.com,P0,done,Noticed that you’ve been handling office relocations and flooring transfers around Berthoud since 2017.
Chelsea Van Lines,chelseavanlines.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:0.92,B2C:0.88,"reliable moving:0.44, reliable service:0.34, long distance:0.33, professional service:0.24, storage web:0.13, obligation quote:0.07, storage web design:0.07, design studio:0.03, web design studio:-0.05, web design:-0.08","Chelsea Van Lines is a moving company that offers nationwide and long-distance moving services across the United States, including Florida, Virginia, and North Carolina. They provide free estimates for moves between New York and Canada, ensuring reliable service from the initial contact to the final packing location. The company emphasizes competitive rates, prompt customer support, and has experience serving various sectors such as finance, real estate, and education.",,196,1-10M,1-10,2017-04-17,228 West 23Rd Street,New York City,NY,10011,US,+12122438000,info@chelseavanlines.com,,2026-06-07,"{""B2C"": 0.88}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Chelsea Van Lines,has_public,info@chelseavanlines.com,ok,skipped,info@chelseavanlines.com,P0,done,Noticed that you’ve been handling moves between New York and Canada since 2017 from NYC.
123 Moving Florida,123movingflorida.com,Full-Service Moving and Storage,1,1,"CONSUMER_SERVICES:0.52, SUPPLY_CHAIN_AND_PROCUREMENT:0.39","B2B:0.54, B2C:0.91","relocation process:0.43, entire relocation process:0.41, entire relocation:0.39, quick price:0.3, effective moving:0.28, long distance:0.28, free quick:0.27, skilled team:0.16, free quick quote:0.15, muffin group:0.06, quick quote:0.02","123 Moving Florida is a moving service that offers a range of relocation solutions for individuals and families. Their main functionality includes providing specialized moving services such as small moves, long-distance packing, and heavy-duty moving with flexible pricing options. Key features include personalized customer support throughout the relocation process, competitive pricing, and a focus on safety and professionalism in all operations. They also offer free quotes and have over 25 years of experience in the industry to ensure reliable and efficient moving experiences.",https://www.facebook.com/123movingflorida,99,1-10M,1-10,2018-09-12,631 Blue Taverna Ln,Clearwater,FL,33756,US,+17274716123,info@123movingflorida.com,,2026-06-07,"{""B2B"": 0.54, ""B2C"": 0.91}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,123 Moving Florida,has_public,info@123movingflorida.com,unknown,deliverable,info@123movingflorida.com,P0,done,Not many Clearwater movers can say they've specialized in small moves and heavy-duty jobs since 2018.
Angel Moving & Storage,angelmovingandstorage.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:0.91,"B2B:0.76, B2C:0.92","secure storage:0.41, right equipment:0.23, reliable process:0.23, unwavering commitment:0.12, tedious task:0.1, necessary information:0.1, free estimate:0.05, use tab:0.01","Angel Moving & Storage is a moving service based in San Francisco that offers local and secure storage solutions for various moves. They provide equipment and personnel to handle all types of moves, ensuring reliable support throughout the process. Their packing services include expert assistance with packing and supplies, as well as secure storage options tailored to customer needs. Customers can request free quotes online by providing necessary information.",https://www.yelp.com/biz/angel-moving-and-storage-san-francisco,123,1-10M,1-10,2021-10-11,,Oakland,CA,94612,US,"+14154267885, +18778478122",support@angelmovingandstorage.com,,2026-06-06,"{""B2B"": 0.76, ""B2C"": 0.92}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Angel Moving & Storage,has_public,support@angelmovingandstorage.com,catch_all,deliverable,support@angelmovingandstorage.com,P0,done,Not many San Francisco moving companies your size have been handling secure storage since 2021.
AZN Storage,aznstorage.com,Full-Service Moving and Storage,1,1,"CONSUMER_SERVICES:0.72, REAL_ESTATE:0.14","B2B:0.56, B2C:0.95","temporary storage:0.47, rented space:0.34, outdoor patio furniture:0.28, patio furniture:0.26, outdoor patio:0.2, close proximity:0.14, climate control:0.07, use tab:0.06, professional care:0.06, round climate control:0.06, round climate:0.02","AZN is a storage and moving service based in Chicago, offering secure and efficient storage solutions for various items. They provide professional pickup and delivery services, ensuring safe and clean storage spaces equipped with year-round climate control. Customers can access their storage needs at a minimum of 1,000 square feet and benefit from personalized customer support throughout the moving process.",,106,<1M,1-10,2018-08-01,4334 West Chicago Avenue,Chicago,IL,60651,US,+17732611600,steve@aznstorage.com,,2026-06-05,"{""B2B"": 0.56, ""B2C"": 0.95}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,AZN Storage,has_public,steve@aznstorage.com,catch_all,deliverable,steve@aznstorage.com,P0,done,"Not many Chicago movers focus on climate-controlled storage spaces starting at 1,000 square feet like you do."
StairHopper Movers,stairhoppersreferral.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:0.9,B2C:0.45,"stairhopper movers:0.58, movers referral:0.57, distance movers:0.49, 2025 stairhopper:0.46, movers friends:0.45, refer stairhopper:0.45, money referral:0.4, movers boston:0.38, movers powered:0.37, claim reward:0.34, best moving:0.32, customer looking:0.31, earning friend:0.31, tvs vacations:0.25, points turn:0.24","StairHopper is a moving service that offers free estimates and referrals for individuals looking to move, particularly those relocating within Boston. Users can register as a referral partner and receive $25 per move with the completion of their move, which can be used to earn additional points for future purchases. The platform also provides options for customers who complete their moves and earn rewards through referral programs.","https://www.facebook.com/stairhoppers, https://www.instagram.com/stairhoppermovers, https://twitter.com/stairhoppers, https://x.com/stairhoppers, https://www.youtube.com/@stairhoppermovers, https://www.youtube.com/channel/UCAz_rArj8BtgEZsvMrG6Fvw, https://www.yelp.com/biz/stairhopper-movers-boston",83,<1M,1-10,2020-05-11,20 Harvard St,Boston,MA,02129,US,+18579280876,"move@stairhoppers.com, movenh@stairhoppers.com",,2026-06-05,"{""B2C"": 0.45}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,StairHopper Movers,has_public,"move@stairhoppers.com, movenh@stairhoppers.com",ok,skipped,move@stairhoppers.com,P0,done,Not many Boston movers have built a referral rewards program like yours since starting up in 2020.
The Small Delivery Co.,thesmalldeliveryco.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:0.92,B2C:0.98,"gallery territory:0.43, household furniture:0.42, bedroom apartment:0.41, furniture install:0.4, furniture appliances:0.39, services quote:0.37, home services:0.36, operated territory:0.36, freestanding appliances:0.33, content home:0.32, moving firms:0.3, 1160 home:0.27, local family:0.26, mileage surcharge:0.24, weight limit:0.22","The website offers moving and assembly services for furniture, appliances, and household items. They assist customers with various types of moves, including single items, studio apartments, and larger living spaces, as well as specialized furniture like mattresses and pool tables. The company emphasizes customer service and provides a range of services tailored to different needs, including hazardous materials relocation and appliance installation. They also offer discounts on moving costs under 10 miles and have over 10 years of experience in the industry.",,120,<1M,1-10,2016-12-26,,Los Angeles,CA,,US,+14247501160,info@thesmalldeliveryco.com,,2026-06-01,"{""B2C"": 0.98}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,The Small Delivery,has_public,info@thesmalldeliveryco.com,ok,skipped,info@thesmalldeliveryco.com,P0,done,Not many movers in Los Angeles handle hazardous materials or pool tables after a decade in the business.
"Pat Ryan Moving and Storage, Inc.",patryanmoving.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:0.94,B2B:0.71,"home customer:0.51, yelp moving:0.5, storage home:0.48, services home:0.47, customer service:0.46, moving company:0.44, yelp feedback:0.44, movers visit:0.44, ryan moving:0.43, yelp com:0.43, customer confidence:0.42, moving storage:0.42, happy customers:0.42, service buzzword:0.39, referrals satisfied:0.36","Pat Ryan Moving is a moving company that offers a range of services including home and rental assistance, as well as storage solutions. They focus on providing quality customer service through positive feedback from satisfied customers and have received numerous awards for their work. The company emphasizes transparency in pricing and aims to build trust with clients by offering competitive rates and reliable support throughout the moving process.",https://www.yelp.com/biz/pat-ryan-moving-and-storage-san-francisco,104,<1M,1-10,2018-07-09,1644 Fulton Street,San Francisco,CA,94117,US,+14158221111,info@patryanmoving.com,,2026-05-30,"{""B2B"": 0.71}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Pat Ryan Moving and Storage,has_public,info@patryanmoving.com,ok,skipped,info@patryanmoving.com,P0,done,"Noticed that since 2018 in San Francisco, you've emphasized transparency in pricing to build client trust."
