Name,Input:Domain,Domain,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status
Moving On Express,movingonexpress.com,movingonexpress.com,CONSUMER_SERVICES:0.89,"B2B:0.65, B2C:0.98","moving express:0.63, sudbury moving:0.61, moving services:0.58, international moving:0.55, trusted moving:0.55, home moving:0.52, international relocation:0.5, movingonexpress com:0.47, relocation customs:0.46, moving partner:0.44, moves town:0.41, care moving:0.41, reliable delivery:0.38, global logistics:0.37, local contact:0.35","Moving On Express is a moving company that offers local, long-distance, and international relocation services. Their main functionalities include fast and friendly moves across town, state-to-state relocations, secure storage options with 24/7 protection, and white glove service for careful packing and transport. They also provide customs support and reliable delivery to facilitate international relocations.",https://www.linkedin.com/company/moving-on-express,69,<1M,1-10,2020-12-02,90 King St,Sudbury,ON,P3C 2V6,CA,+18006486999,info@movingonexpress.com,,2026-05-31,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Moving On Express,has_public,info@movingonexpress.com,ok,skipped,info@movingonexpress.com,P0,done
Element Moving & Storage,elementmoving.com,elementmoving.com,CONSUMER_SERVICES:1.0,"B2B:0.91, B2C:0.93","dallas moving:0.65, dallas movers:0.61, companies dallas:0.56, company dallas:0.56, storage dallas:0.55, dallas quality:0.53, care dallas:0.52, trusted dallas:0.5, dallas element:0.47, rated dallas:0.47, dallas local:0.45, professional movers:0.41, moving services:0.39, 0988 dallas:0.37, dfw realtor:0.3","Element Moving and Storage is a moving company based in Dallas that offers a range of services for both local and long-distance moves, including specialized moves such as fine art, pool transfers, and antique relocations. Their main functionality includes packing, unpacking, and storage solutions tailored to various needs like furniture assembly and safe shipping. With over 15 years of experience, they focus on providing transparent pricing and personalized service to ensure smooth and reliable relocation experiences for clients across the Texas area.","https://www.linkedin.com/company/element-moving-and-storage-llc, https://www.facebook.com/elementmoving, https://www.instagram.com/elementmoving, https://x.com/elementmoving, https://www.yelp.com/biz/element-moving-and-storage-dallas-3",309,10-100M,1-10,2017-06-07,12011 Denton Dr,Dallas,TX,75234,US,"+19728050988, +12143058485, +14696387900, +18883684689, +19723017849",info@elementmoving.com,,2026-06-10,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Element Moving & Storage,has_public,info@elementmoving.com,ok,skipped,info@elementmoving.com,P0,done
Michael's Movers,michaelsmovers.com,michaelsmovers.com,CONSUMER_SERVICES:1.0,B2C:0.96,"moving boston:0.69, boston moving:0.64, movers affordable:0.62, rates boston:0.57, boston movers:0.56, moving services:0.55, relocations michael:0.53, delivery moving:0.52, service boston:0.52, moving storage:0.5, moving needs:0.49, moving company:0.49, boston area:0.48, interstate moving:0.46, insured boston:0.44","Michael's Movers is a moving company based in Boston, MA, offering a range of services for both local and long-distance moves. Their main functionalities include providing packing, storage, and same-day delivery for moves between Boston and New York, with flat rates for moves over 150 miles. Customers can obtain an online quote for various moving needs, including breakables and furniture, and they offer overnight storage options. The company serves multiple locations in the Greater Boston area and emphasizes customer service and satisfaction.","https://web.facebook.com/michaelsmovers, https://web.facebook.com/michaelsmovers/reviews, https://www.facebook.com/michaelsmovers, https://www.yelp.com/biz/michaels-moving-and-storage-boston-5, https://www.yelp.com/biz/michaels-moving-and-storage-chelsea-3",212,1-10M,1-10,2018-09-26,76 Ashford St,Boston,MA,02134,US,"+16177199141, +16177829811, +16179368767, +19498609778",info@michaelsmovers.com,,2026-06-05,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Michael's Movers,has_public,info@michaelsmovers.com,ok,skipped,info@michaelsmovers.com,P0,done
Morgan Moving and Storage,morganmovingandstorage.com,morganmovingandstorage.com,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.87","moving morgan:0.59, moving storage:0.58, storage moving:0.54, residential moving:0.54, make relocating:0.54, moving company:0.53, relocation office:0.52, certified moving:0.51, corporate relocation:0.51, relocating simple:0.5, storing hauling:0.5, relocation military:0.47, plan moving:0.45, packing local:0.4, nashville booneville:0.36","Morgan Moving and Storage is a moving company that offers local, long-distance, and commercial relocation services in the mid-South of Tennessee, North Alabama, and Tupelo, Mississippi. They provide household moves, corporate relocation, office and industrial relocations, military relocations (MDRs), and full-service storage options such as portable and onsite storage. With over 50 years of experience, their certified moving consultants assist clients throughout the moving process to ensure a smooth and hassle-free experience.",https://www.linkedin.com/company/morgan-moving-&-storage,108,1-10M,1-10,2018-02-22,41 George T Thompson Dr.,Tupelo,MS,38801,US,"+16152267000, +16628421120",sales@morganmovingandstorage.com,,2026-06-11,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Morgan Moving and Storage,has_public,sales@morganmovingandstorage.com,catch_all,deliverable,sales@morganmovingandstorage.com,P0,done
"Ready 2 Roll Moving, LLC",ready2rollmoving.com,ready2rollmoving.com,CONSUMER_SERVICES:0.99,"B2B:0.99, B2C:0.97","moving cincinnati:0.76, movers cincinnati:0.66, moving ohio:0.66, cincinnati movers:0.65, services cincinnati:0.61, turn cincinnati:0.58, help cincinnati:0.58, cincinnati residential:0.56, cincinnati area:0.56, cincinnati experience:0.55, cincinnati office:0.55, home cincinnati:0.53, cincinnati learn:0.51, relocation rolling:0.48, cincinnati unmatched:0.48","Ready 2 Roll Moving is a moving company based in Loveland, Ohio, specializing in residential, commercial, and long-distance moves. Their main services include packing, unpacking, furniture moving, piano moving, and logistics support for relocations across the Greater Cincinnati area. The team collaborates closely with clients to create customized moving plans, ensuring a smooth and stress-free experience throughout the move process. They also provide specialized services like moving boxes and furniture storage, supported by over 20 years of industry expertise.",https://www.facebook.com/ready2rollmoving,95,1-10M,1-10,2019-06-08,10930 Loveland Madeira Rd,Loveland,OH,45140,US,+15133999872,"booking@ready2rollmoving.com, b.sinclair@ready2rollmoving.com",,2026-06-14,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Ready 2 Roll Moving,has_public,"booking@ready2rollmoving.com, b.sinclair@ready2rollmoving.com",ok,skipped,booking@ready2rollmoving.com,P0,done
Commander Moving Inc.,commandermoving.com,commandermoving.com,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.87, B2G:0.56","movers residential:0.54, residential moving:0.52, movers help:0.52, movers statewide:0.51, movers provide:0.51, schedule moving:0.49, service relocating:0.48, movers retail:0.48, office movers:0.47, relocating city:0.46, moving today:0.45, moving company:0.44, moving storage:0.4, ca deliver:0.39, stress relocation:0.35","Commander Moving Inc is a moving company based in the Bay Area, California, specializing in residential and commercial relocations. They offer a range of services including office moves, long-distance moving, medical relocation, retail store moves, and car shipping. With over 25 years of experience, their team provides tailored solutions to meet individual client needs, ensuring efficient planning and support throughout the move process. The company emphasizes customer satisfaction and offers same-day free estimates for all moving-related services.","https://www.linkedin.com/company/commander-moving-inc, https://instagram.com/commandermovinginc, https://twitter.com/commandermoving, https://youtube.com/@CommanderMovingInc",78,1-10M,1-10,2021-03-18,3668 Enterprise Ave,Hayward,CA,94545,US,"+14152134873, +14152235332",commander@commandermoving.com,,2026-06-13,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Commander Moving,has_public,commander@commandermoving.com,catch_all,deliverable,commander@commandermoving.com,P0,done
Jones Movers,jonesmovers.com,jonesmovers.com,CONSUMER_SERVICES:1.0,B2C:0.99,"packing moving:0.54, affordable moving:0.54, moving indianapolis:0.54, movers customer:0.5, movers reliable:0.5, jones movers:0.49, moving family:0.49, moving services:0.49, movers state:0.47, moving easy:0.46, contact packing:0.44, moving company:0.42, buyers evictions:0.4, belongings care:0.38, model homes:0.35","Jones Movers is a moving company based in Indianapolis that offers a range of services for home and office moves, including packing, staging, and eviction assistance. They provide personalized moving planning tailored to individual needs and ensure safe and efficient handling of belongings. The company operates a large fleet of clean moving vans and employs trained personnel to handle various moving-related tasks, with options for purchasing packing kits for cost savings. Jones Movers also emphasizes customer care and satisfaction, aiming to deliver reliable and affordable moving solutions.",https://facebook.com/jones-movers-inc-142801915780145,130,1-10M,1-10,2016-11-24,361 South Post Rd.,Indianapolis,IN,46219,US,"+13173539217, +13177736683",info@jonesmovers.com,,2026-05-29,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Jones Movers,has_public,info@jonesmovers.com,catch_all,deliverable,info@jonesmovers.com,P0,done
I Love International Moving,ilovemoving.com,ilovemoving.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.99,"B2B:0.98, B2C:0.89","international moving:0.62, moving international:0.61, overseas relocation:0.55, relocating shipping:0.55, sea relocations:0.53, moving company:0.51, relocation services:0.5, international shipping:0.5, moving services:0.48, international zip:0.47, moving 20:0.47, sea international:0.46, moving license:0.42, federal maritime:0.42, services overseas:0.42","I Love International Moving is a moving company that specializes in international relocation services, including sea and air moving, packing, and storage solutions. They offer a range of services such as customs clearance, vehicle shipping, and corporate relocation assistance. The company provides free estimates, guaranteed pricing with no hidden fees, and has over 20 years of experience in the industry to ensure smooth and efficient moving processes for clients worldwide.","https://www.linkedin.com/company/i-love-moving, https://www.facebook.com/iloveintmoving, https://www.instagram.com/iloveintmoving, https://x.com/ilovemovingilm, https://www.youtube.com/channel/UCkP3DwWA8uzpLj38vtPLawQ",228,1-10M,1-10,2017-02-15,5938 Corbin Ave,Tarzana,CA,91356,US,+16282154106,info@ilovemoving.com,,2026-06-04,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,I Love International Moving,has_public,info@ilovemoving.com,catch_all,deliverable,info@ilovemoving.com,P0,done
Greenwood Moving & Storage Inc.,greenwoodmoving.com,greenwoodmoving.com,CONSUMER_SERVICES:0.94,"B2B:0.98, B2C:0.97","greenwood moving:0.56, logistics moving:0.55, moving storage:0.55, residential moving:0.53, relocation storage:0.53, greenwood indianapolis:0.47, servicing indianapolis:0.46, moving companies:0.46, moving office:0.46, info greenwoodmoving:0.45, moving trucks:0.44, storage servicing:0.42, mover certified:0.39, moving easy:0.39, packing kits:0.35","Greenwood Moving & Storage is a family-owned moving company based in Indianapolis that has been providing services since 1974. They offer residential, office, and corporate relocation solutions, as well as packing and shipping kits. The company emphasizes safety with protective coverings and adheres to industry standards, ensuring efficient service throughout the moving process. Greenwood Moving & storage operates Monday through Friday from 8 AM to 5 PM and Saturday from 8:00 AM to 12 PM, focusing on customer satisfaction and effective communication during the move.","https://www.linkedin.com/company/greenwood-moving-&-storage-inc, https://www.facebook.com/greenwood-moving-storage-inc-122083491182456, https://www.yelp.com/biz/greenwood-moving-and-storage-greenwood-9",212,1-10M,1-10,2018-03-11,1015 N Hurricane Rd,Franklin,IN,46131,US,+13178820190,info@greenwoodmoving.com,,2026-06-05,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Greenwood Moving & Storage,has_public,info@greenwoodmoving.com,ok,skipped,info@greenwoodmoving.com,P0,done
"Saunier Moving And Storage, Inc.",sauniermoving.com,sauniermoving.com,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.97","moving kentucky:0.55, kentucky relocating:0.51, kentucky doorstep:0.46, relocation saunier:0.46, moving storage:0.45, services belongings:0.44, moving home:0.44, trusted moving:0.43, packing services:0.43, interstate relocation:0.41, moving needs:0.41, home services:0.4, louisville warehouse:0.39, american van:0.38, doorstep destination:0.37","Saunier Moving and Storage is a moving company based in Kentucky that offers local, interstate, and international relocation services. They provide packing, storage solutions for both residential and commercial moves, ensuring meticulous care of belongings during the move. The company emphasizes customer satisfaction and transparent pricing to minimize surprises and ensure a smooth moving experience. Saunier serves various counties in Kentucky and surrounding areas, providing tailored moving solutions for families and businesses.","https://www.linkedin.com/company/saunier-moving-&-storage, https://facebook.com/sauniermoving, https://instagram.com/sauniermoving1",74,1-10M,1-10,2020-02-05,1900 Production Court,Louisville,KY,40299,US,"+15024999996, +18592332383",info@sauniermoving.com,,2026-05-31,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Saunier Moving And Storage,has_public,info@sauniermoving.com,catch_all,deliverable,info@sauniermoving.com,P0,done
