Name,Input:Domain,Domain,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status
2 Brothers Services Inc,2bservicesatl.net,2bservicesatl.net,CONSUMER_SERVICES:0.91,"B2B:0.8, B2C:0.86","atlanta moving:0.56, services atlanta:0.51, local movers:0.5, moving service:0.48, ga local:0.48, rate moving:0.44, moving hours:0.43, moving companies:0.41, company georgia:0.41, property arrives:0.4, way pricing:0.4, flat rates:0.39, brothers moving:0.39, home moved:0.38, unlimited moving:0.38","2 Brothers Services Inc is a flat-rate moving company based in Covington, GA, specializing in the relocation of homes and businesses. They offer unlimited moving hours and provide transparent pricing without hidden fees. Their services include packing, unpacking, furniture delivery, air purification, and custom moving solutions for various needs such as home renovations and appliances. The company emphasizes customer service and aims to create a stress-free moving experience while ensuring quality care for clients' properties.",,105,1-10M,1-10,2018-11-15,,Conyers,GA,,US,"+16785236133, +16788292767",info@2bservicesatl.net,,2026-05-31,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,2 Brothers Services,has_public,info@2bservicesatl.net,ok,skipped,info@2bservicesatl.net,P0,done
2 Guys 4 Hire,2guys4hire.com,2guys4hire.com,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.86","hire movers:0.59, hire moving:0.56, movers colorado:0.55, moving help:0.55, relocate colorado:0.55, movers near:0.53, movers denver:0.52, local movers:0.52, moving jobs:0.51, moving professionals:0.51, mover helpers:0.51, moving needs:0.5, relocating new:0.48, moving trucks:0.48, bedford moving:0.45","2 Guys 4 Hire is a moving company that provides professional moving services in Colorado Springs, Denver, and Dallas/Fort Worth. They offer a range of moving assistance for both residential and commercial moves, including long-distance moves, furniture assembly, and packing. The service includes instant quotes, transparent pricing with no hidden fees, and a commitment to customer satisfaction, backed by over 30 years of experience and multiple relocation certifications. Their team consists of local professionals who assist clients throughout the move process, ensuring personalized support and efficient management of their belongings.",,101,1-10M,1-10,2018-06-21,,White Settlement,TX,76108,US,"+17199306349, +17205934897, +18173821322",russ@2guys4hire.com,,2026-06-10,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,2 Guys 4 Hire,has_public,russ@2guys4hire.com,ok,skipped,russ@2guys4hire.com,P0,done
All My Sons Moving & Storage,2movers.com,2movers.com,CONSUMER_SERVICES:1.0,"B2B:0.69, B2C:0.92","nationwide movers:0.66, local movers:0.62, recommend moving:0.59, local moving:0.57, service movers:0.55, moving service:0.54, moved date:0.51, moving apartment:0.51, movers 877:0.5, movers time:0.5, moving storage:0.49, moving company:0.48, moving years:0.47, sons moving:0.46, amazing moved:0.45","2MOVERS is a local and nationwide moving service that connects customers with professional movers for various moves, including residential, commercial, and long-distance transfers. The company offers personalized moving assistance through trained professionals who handle all aspects of the move, including packing, storage, and repairs. With over 25 years of experience, 2MOVers operates more than 60 locations across the United States, providing tailored solutions to meet individual customer needs while ensuring a smooth moving process.",,132,10-100M,1-10,2018-06-21,412 N. Main St,Buffalo,WY,82834,US,"+18557970382, +18886650881, +18443012720, +18772745928, +18777737350, +18778041448, +18778844738, +18888888888, +18889070428","info@2movers.com, ccpa@2movers.com",,2026-06-05,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,All My Sons Moving & Storage,has_public,"info@2movers.com, ccpa@2movers.com",catch_all,deliverable,info@2movers.com,P0,done
305 Movers,305movers.com,305movers.com,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.9","moving miami:0.66, moving florida:0.65, miami moving:0.61, affordable moving:0.59, relocate miami:0.58, movers miami:0.58, moving delivery:0.54, efficiency relocating:0.54, 305 movers:0.53, planning miami:0.52, relocations building:0.51, specialty moving:0.49, haul statewide:0.46, moving easy:0.45, belongings moving:0.45","305 Movers is a moving company based in Miami that offers residential, commercial, and specialty moves for both residents and local businesses. Their services include packing, transportation, furniture disassembly, and all-inclusive moving solutions with no hidden fees or additional costs. They operate throughout the Miami area, including major cities like Coral Gables and Miami Beach, and provide free estimates and quotes through an online booking system. Key features include a fleet of 26-foot trucks for efficient transport, a commitment to customer satisfaction, and a focus on providing personalized service throughout the move process.",,157,1-10M,1-10,2020-08-24,,Miami,FL,,US,,info@305movers.com,,2026-06-14,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,305 Movers,has_public,info@305movers.com,catch_all,deliverable,info@305movers.com,P0,done
A-1 Moving Co.,a1movingco.ca,a1movingco.ca,CONSUMER_SERVICES:0.92,"B2B:0.98, B2C:0.94","ontario moving:0.68, residential moving:0.61, specialty moving:0.61, moving companies:0.57, moving office:0.56, professional moving:0.56, movers specialty:0.55, moving management:0.53, moving services:0.52, moving job:0.52, commercial moving:0.51, plan relocate:0.49, moving senior:0.49, moves deliveries:0.48, municipality niagara:0.46","A-1 Moving Co. is a professional moving company based in St. Catharines, Ontario, specializing in residential and commercial moves, as well as specialized services for senior citizens and small items. They offer a range of moving solutions including packing, unpacking, delivery, and overnight trailer storage, ensuring safe and efficient relocation processes. The team consists of fully insured and non-smokers who prioritize safety and customer satisfaction throughout the moving process. A-1moving Co. also provides flexible pricing options, including hourly rates and off-peak service packages, to accommodate various moving needs.",,142,<1M,1-10,2018-05-31,,Niagara,ON,,CA,+19056843995,movinggenerations@cogeco.ca,,2026-06-01,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,A-1 Moving,has_public,movinggenerations@cogeco.ca,ok,skipped,movinggenerations@cogeco.ca,P0,done
A2 Moving Company,a2movingcompany.com,a2movingcompany.com,CONSUMER_SERVICES:0.91,"B2B:0.93, B2C:0.91","movers irvine:0.56, moving company:0.52, moving services:0.52, professional movers:0.5, piano moving:0.5, moving professional:0.48, moving labor:0.45, commercial moving:0.45, local moving:0.44, movers los:0.44, services piano:0.41, moving long:0.4, moving packing:0.4, a2 moving:0.39, orange county:0.32","Avery Smith A2 Moving is a professional moving company based in Los Angeles and Orange County, specializing in long-distance moves. They offer a range of services including packing, storage, and legal assistance for individuals and businesses. The company emphasizes customer satisfaction, competitive pricing, and specialized labor solutions, ensuring a smooth move experience with their experienced team. Their operating hours are Monday to Friday from 8 AM to 8 PM and Saturday from 8 PM to 8 pm.",https://www.yelp.com/biz/a2-moving-los-angeles,119,1-10M,1-10,2018-03-14,2130 Technology Pl.,Long Beach,CA,90810,US,+15627595069,info@a2movingcompany.com,,2026-06-11,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,A2 Moving,has_public,info@a2movingcompany.com,ok,skipped,info@a2movingcompany.com,P0,done
Abba Movers LLC,abbamovers.com,abbamovers.com,CONSUMER_SERVICES:0.92,"B2B:0.95, B2C:0.94","orleans packing:0.57, orleans baton:0.53, rouge baton:0.51, fit relocating:0.48, moving help:0.47, louisiana limited:0.45, moving services:0.45, packing services:0.45, local moving:0.43, abba movers:0.42, movers llc:0.41, transportation arrangements:0.39, labor moves:0.38, loading baton:0.37, furniture handling:0.31","Abba Labor Solutions is a moving company based in New Orleans and Baton Rouge that offers a range of services for long-distance moves. Their main functionalities include packing, loading, unloading, and furniture placement, as well as full and partial packing options tailored to individual needs. They provide professional coordination for move logistics, ensuring smooth and organized processes throughout the moving process, with no deposit required. The company emphasizes customer satisfaction and aims to deliver reliable support for both residential and commercial relocations.","https://www.facebook.com/abbamovers, https://www.yelp.com/biz/abba-movers-baton-rouge-4, https://www.yelp.com/biz/abba-movers-new-orleans-3",80,1-10M,1-10,2017-03-29,3734 Jean Pl Metarie La,Metarie,LA,70002,US,"+12252524407, +12253846683, +15044504959",info@abbamovers.com,,2026-06-14,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Abba Movers,has_public,info@abbamovers.com,ok,skipped,info@abbamovers.com,P0,done
ABC Movers,abcmovers.com,abcmovers.com,CONSUMER_SERVICES:0.92,"B2B:0.96, B2C:0.93","distance commercial storage:0.44, long distance commercial:0.32, warehouse mon:0.28, furniture assembly piano:0.25, long distance coast:0.25, quote booking:0.25, person office:0.22, distance reach:0.22, neighborhood quirk:0.21, heavy lifting:0.19, light industrial:0.17, barcoded chain:0.12, previous customer:0.12, single point:0.04, average rating:-0.07","ABC Movers is a moving company that offers a range of services for both local and long-distance moves. Their main functionalities include packing, crating, furniture assembly, and climate-controlled storage. They utilize barcoded inventory scans to ensure proper oversight during the move, and they provide same-week scheduling for commercial moves across multiple states. The company emphasizes customer satisfaction with a strong chain of custody and has over a decade of experience in the industry.","https://www.linkedin.com/company/abc-movers, https://www.facebook.com/abcmovers, https://www.instagram.com/abcmovers, https://twitter.com/abcmovers, https://www.yelp.com/biz/abc-movers-los-angeles",75,10-100M,1-10,2018-12-18,1855 Get A Free Quote →,Los Angeles,CA,90007,US,,info@abcmovers.com,,2026-06-05,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,ABC Movers,has_public,info@abcmovers.com,ok,skipped,info@abcmovers.com,P0,done
ABC Moving & Storage,abcmovingnc.com,abcmovingnc.com,"BUSINESS_PRODUCTS_AND_SERVICES:0.75, CONSUMER_SERVICES:0.09","B2B:0.85, B2C:0.91","house shredding:0.41, storage warehouse complete:0.39, storage warehouse:0.39, storage today:0.39, general storage:0.32, warehouse complete:0.24, quality service:0.16, safe destruction:0.16, toggle navigation:0.01","The website offers moving and storage services in Greenville, NC, specializing in the safe destruction of sensitive materials. It provides a range of solutions including free packing, transportation, storage, and legal assistance for individuals and businesses looking to relocate or store their belongings. The company emphasizes quality service with advanced technology and has been serving the community since 1949, ensuring comprehensive support throughout the moving process.",,108,1-10M,1-10,2018-06-12,2011 Stantonsburg Roadgreenville,Greenville,NC,27835,US,+12527524500,abc@abcmovingnc.com,,2026-06-04,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,ABC Moving & Storage,has_public,abc@abcmovingnc.com,ok,skipped,abc@abcmovingnc.com,P0,done
Best Moving Service,abestmoving.com,abestmoving.com,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.97","services anaheim:0.58, movers anaheim:0.56, irvine luxury:0.53, anaheim irvine:0.51, anaheim surrounding:0.51, moving needs:0.49, relocating town:0.48, local apartment:0.47, california moving:0.47, services relocating:0.46, apt movers:0.46, fit residential:0.43, insured services:0.41, elderly residents:0.39, elevators rated:0.34","Best Moving Services is a family-owned moving company based in Anaheim, California, specializing in residential and commercial relocations. They offer a range of services including packing, transportation, heavy lifting, storage, and specialized move solutions for luxury apartments with challenging layouts. With over 35 years of experience, the company emphasizes customer satisfaction and provides transparent pricing without hidden fees, ensuring that clients receive support throughout their moving process.","https://www.linkedin.com/company/best-moving-service, https://www.yelp.com/biz/best-moving-service-anaheim-3",259,1-10M,1-10,2016-12-02,1921 E Wright Circle,Anaheim,CA,92805,US,"+16575306177, +17143851700",best@abestmoving.com,,2026-05-28,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Best Moving Service,has_public,best@abestmoving.com,catch_all,deliverable,best@abestmoving.com,P0,done
