Name,Input:Domain,Domain,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status
Power Movers,powermovers.com,powermovers.com,CONSUMER_SERVICES:0.99,"B2B:0.99, B2C:0.96","residential movers:0.65, movers residential:0.64, mover services:0.62, movers affordable:0.62, affordable mover:0.62, residential moving:0.6, movers delivery:0.59, local movers:0.56, specialty movers:0.56, movers experience:0.53, apartment mover:0.53, simple relocating:0.53, houston moving:0.52, relocation services:0.52, moving trucks:0.49","Power Movers is a moving service provider based in Houston, Texas, offering a range of relocation solutions for residential, commercial, and long-distance moves. Their main functionalities include packing, unpacking, and transportation, as well as specialized services like senior moving and specialty moving. Key features include labor-only moving, furniture assembly and disassembly, and affordable shrink wrapping services to protect belongings during transit. The company emphasizes reliability, customer care, and timely delivery to ensure stress-free relocation experiences for clients across the state.","https://www.linkedin.com/company/power-movers, https://www.facebook.com/powermoverstexas, https://www.instagram.com/powermoverstexas",191,1-10M,11-50,2017-03-16,16517 Longenbaugh Dr,Houston,TX,77095,US,"+18327348772, +18329406683","admin@powermovers.com, info@powermovers.com",,2026-05-29,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Power Movers,has_public,info@powermovers.com,ok,skipped,info@powermovers.com,P0,done
OfficeMovers.com,officemovers.com,officemovers.com,"CONSUMER_SERVICES:0.47, BUSINESS_PRODUCTS_AND_SERVICES:0.25","B2B:0.99, B2C:0.56","movers office:0.66, office movers:0.66, moving office:0.65, office moving:0.63, office mover:0.63, relocation services:0.58, movers nationwide:0.56, commercial relocation:0.56, offices moved:0.56, relocation company:0.55, recycling office:0.53, services officemovers:0.52, moving facilities:0.52, moving specialty:0.51, moving storage:0.48","OfficeMovers.com is a nationwide moving company that specializes in commercial relocation services for offices and businesses across the United States. They offer customized moving plans, packing supplies, furniture installation, and secure storage solutions tailored to meet specific moving needs. Key features include real-time communication throughout the move, proprietary move software for quick information collection, and support for both individual and corporate moves. The company also provides specialized services such as office decommissioning, recycling, and project management.",,43,10-100M,11-50,2019-10-24,,Columbia,MD,21045,US,+13012100948,info@officemovers.com,,2026-06-09,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,OfficeMovers.com,has_public,info@officemovers.com,ok,skipped,info@officemovers.com,P0,done
ASAP Movers,asapmovers.com,asapmovers.com,CONSUMER_SERVICES:0.91,"B2B:0.9, B2C:0.96","moving services:0.54, movers jobs:0.53, movers provide:0.5, moving supplies:0.49, movers serve:0.46, moving senior:0.45, packing services:0.44, moving trucks:0.44, home deliveries:0.43, moving military:0.43, moving storage:0.43, services residential:0.42, moving santa:0.4, assisted living:0.38, renting truck:0.38","ASAP Movers is a local moving company that offers residential and commercial moving services in Santa Maria and Santa Barbara Counties. They provide long-distance moves, full packing services, and storage solutions, as well as labor-only services for onsite assistance. Their fleet includes over 20 vehicles, GPS tracking for shipments, and they offer specialized services for senior living homes and final mile delivery. The company emphasizes quality service with competitive pricing and customer satisfaction, supported by a team of trained movers who are experienced throughout the move process.","https://www.linkedin.com/company/asap-movers, https://www.instagram.com/asapmoversslo, https://www.youtube.com/c/Asapmoversslo, https://www.yelp.com/biz/asap-movers-san-luis-obispo-3",174,1-10M,11-50,2018-03-27,1310 West Mccoy Ln.,Santa Maria,CA,93455,US,"+18055449222, +18055449104","kasey@asapmovers.com, james@asapmovers.com, chris@asapmovers.com, scott@asapmovers.com, info@asapmovers.com, shandie@asapmovers.com, kyle@asapmovers.com",,2026-06-05,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,ASAP Movers,has_public,"kasey@asapmovers.com, james@asapmovers.com, chris@asapmovers.com, scott@asapmovers.com, info@asapmovers.com, shandie@asapmovers.com, kyle@asapmovers.com",ok,skipped,kasey@asapmovers.com,P0,done
Sheffield Moving & Storage,sheffieldmoving.com,sheffieldmoving.com,CONSUMER_SERVICES:0.92,"B2B:0.96, B2C:0.73","moving process:0.3, modern convenience:0.23, storage homepage:0.21, experienced team:0.13, customer satisfaction:0.13, friendly staff:0.13, free transition:0.11, exceptional service:0.1, preferred choice:0.09, notch moving:0.08, utmost care:0.04, linkedin copyright:0.02, clear communication:0.01, obligation quote:-0.03, main content:-0.05","Sheffield Moving & Storage is a moving company based in Toronto, Ontario, specializing in local, long-distance, commercial, and seniors moving services. They offer a range of relocation options including packing, unpacking, and storage solutions tailored to meet individual customer needs. The company emphasizes transparent pricing with no hidden fees, personalized service from the start, and aims to provide reliable support throughout the moving process, ensuring that clients receive timely assistance and efficient service for their moves.","https://www.linkedin.com/company/sheffieldmoving, https://www.instagram.com/sheffieldmoving, https://twitter.com/sheffieldmoving",433,1-10M,11-50,2018-02-05,25 Metropolitan Rd,Toronto,ON,M1R 2T5,CA,"+14162911200, +18002686753",info@sheffieldmoving.com,,2026-06-12,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Sheffield Moving & Storage,has_public,info@sheffieldmoving.com,ok,skipped,info@sheffieldmoving.com,P0,done
"Dun-Rite Specialized Carriers, LLC.",dunritespecialized.com,dunritespecialized.com,CONSTRUCTION:0.83,"B2B:0.84, B2C:0.65","crane hoisting:0.53, install transportation:0.32, indoor warehousing:0.3, maximum customer:0.28, professional staff:0.22, services master:0.22, complete coordination:0.18, open floor:0.14, strong leader:0.13, ceiling height:0.11, safe movement:0.1, proper care:0.09, strict attention:0.06, quality climate:-0.01, crating taking pride:-0.02","Dun-Rite Specialized Carriers provides a range of services including crane hoisting, rigging, storage, and warehousing in the Greater New York Region. They are licensed for lifting or lowering various articles regardless of weight or height, with a specialized 1 Ton Derrick rope lifting service. The company also offers transportation services using trucks and trailers to transport heavy loads across multiple locations, ensuring safe handling of client belongings. With over 70 years of experience, Dun-RITE specializes in architectural preservation, customized bases, exhibition services, and monumental storage.","https://www.linkedin.com/company/dun-rite-specialized-carriers-, https://www.facebook.com/dun-rite-specialized-carriers-262020830578209, https://www.facebook.com/pages/dun-rite-specialized-carriers/262020830578209",111,1-10M,11-50,2020-02-05,1561 Southern Boulevard,Bronx,NY,10460,US,"+17189911100, +17188420994","info@dunritespecialized.com, dominick@dunritespecialized.com, anthony@dunritespecialized.com, frank@dunritespecialized.com, mike@dunritespecialized.com",,2026-06-13,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Dun-Rite Specialized Carriers,has_public,"info@dunritespecialized.com, dominick@dunritespecialized.com, anthony@dunritespecialized.com, frank@dunritespecialized.com, mike@dunritespecialized.com",catch_all,deliverable,info@dunritespecialized.com,P0,done
Desert Moving,desertmoving.com,desertmoving.com,CONSUMER_SERVICES:0.91,"B2B:0.96, B2C:0.86","desert area:0.47, relocation car shipping:0.32, relocation car:0.32, movers employee relocation:0.32, movers employee:0.29, international movers employee:0.28, employee relocation car:0.27, storage company:0.25, car storage:0.24, trusted moving:0.21, moving partner:0.2, car storage secure:0.19, family operated company:0.14, star rating:0.03, best way:-0.03","Desert Moving is a full-service moving company operating in the desert areas of California and Arizona. They provide a range of moving services including local, long-distance, international, small moves, office relocations, and car shipping. The company specializes in organizing packing, transporting, and storing belongings for both residential and commercial clients, as well as offering specialized services like office furniture installation and art collection. Established in 1987, Desert Moving has handled over 2.5 million moves annually and employs 100 certified movers to ensure efficient service.","https://www.linkedin.com/company/desert-moving-company-&-storage, https://www.facebook.com/desertmoving, https://www.instagram.com/desertmoving, https://x.com/desertmoving",208,1-10M,11-50,2018-07-10,82585 Showcase Parkway,Indio,CA,92203,US,"+16232928300, +17605374454, +17609043225","inquiry@desertmoving.com, phx@desertmoving.com, privacy@desertmoving.com, info@desertmoving.com, ps@desertmoving.com, info@eliteanywhere.com",,2026-06-08,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Desert Moving,has_public,"inquiry@desertmoving.com, phx@desertmoving.com, info@desertmoving.com, ps@desertmoving.com, info@eliteanywhere.com",ok,skipped,inquiry@desertmoving.com,P0,done
Ferguson Moving & Storage,fergusonmoving.com,fergusonmoving.com,CONSUMER_SERVICES:0.91,"B2B:0.99, B2C:0.92","residential moving service:0.58, quote residential moving:0.51, moving process:0.44, professional moving:0.43, load planning:0.21, price plan:0.21, parking arrangement:0.2, furniture placement:0.19, elevator reservation:0.19, expert handling:0.14, seamless experience:0.12, long distance:0.11, structured way:0.1, initial assessment:0.06, access requirement:0.02","Ferguson Moving & Storage is a moving company in Canada that offers a range of services for both residential and commercial moves, including local, long-distance, international, and specialized relocations. Their main functionality includes providing tailored moving solutions with personalized assessments, guaranteed written quotes, and transparent pricing without hidden fees. Key features include packing services, moving supplies, packing assistance, and a dedicated move manager to ensure a smooth relocation experience. They operate across British Columbia, Alberta, and Ontario, focusing on safety and professionalism throughout the moving process.","https://www.linkedin.com/company/ferguson-moving-and-storage, https://www.facebook.com/fergusonmoving, https://www.instagram.com/ferguson_moving, https://www.instagram.com/fergusonmovingandstorage",146,1-10M,11-50,2017-11-21,1584 Columbia Street,North Vancouver,BC,V7J 1A4,CA,"+12509997792, +14166391970, +15872913305, +16047570429, +16047570438, +16049222212, +19057171398, +18339366839","lift@fergusonmoving.com, info@fergusonmoving.com",,2026-06-13,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Ferguson Moving & Storage,has_public,"lift@fergusonmoving.com, info@fergusonmoving.com",ok,skipped,lift@fergusonmoving.com,P0,done
Bisson Moving & Storage,movebisson.com,movebisson.com,CONSUMER_SERVICES:0.91,"B2B:0.98, B2C:0.86","residential moving:0.5, professional moving:0.42, moving industry:0.41, van lines agent:0.34, freight division:0.32, new location:0.32, time movers:0.24, small business:0.23, large truck:0.16, right career:0.15, prior experience:0.12, critical decision:0.11, great attitude:0.08, entire team:0.05, tight spot:0.05","Bisson Moving & Storage is a moving company based in Portland, Maine, specializing in residential and commercial moves. They offer a range of services including local moves, long-distance travel, corporate relocation, and international moves, as well as packing, storage, and document management. The company employs certified movers and professional drivers to ensure personalized service and customer satisfaction throughout the move process. Additionally, Bisson provides courier services for transporting goods and has a focus on building relationships with clients through community support and job opportunities.","https://www.linkedin.com/company/bisson, https://www.facebook.com/atlasvanlines, https://www.facebook.com/movebisson, https://www.instagram.com/explore/locations/984121875/bisson-moving-storage, https://twitter.com/https://twitter.com/atlas_van_lines",170,1-10M,11-50,2017-02-16,56 Bibber Parkway,Brunswick,ME,04011,US,"+12073731059, +12074427991, +12075141060, +12075911000, +12076220393, +12078562786, +12078562690",customerservice@movebisson.com,,2026-06-05,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Bisson Moving & Storage,has_public,customerservice@movebisson.com,ok,skipped,customerservice@movebisson.com,P0,done
H2H Movers Inc,h2hmovers.com,h2hmovers.com,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.9, B2G:0.82","chicago moving:0.57, movers chicago:0.55, movers service:0.53, chicago h2h:0.51, movers 4250:0.49, h2h movers:0.47, moving help:0.46, bedroom movedate:0.44, moving neighborhoods:0.44, relocation simple:0.44, reviews chicago:0.43, 8797 moving:0.43, moving company:0.43, residential business:0.38, bing realtor:0.37","H2H Movers Chicago is a moving company that offers a range of services for residential, commercial, and long-distance moves. Their main functionalities include packing, unpacking, furniture rearrangement, and piano moving, ensuring smooth relocation processes. The company emphasizes transparent pricing with no hidden fees, employs trained workers to ensure quality service, and provides free estimates through an online process. H2HMovers aims to simplify the moving experience by handling logistics efficiently and delivering personalized support.","https://www.linkedin.com/company/h2h-movers-inc, https://www.facebook.com/h2hmovingcompany, https://www.instagram.com/h2hmovers, https://twitter.com/h2hmoving, https://x.com/h2hmoving, https://www.yelp.com/biz/h2h-movers-chicago-3, https://www.yelp.com/biz/h2h-movers-chicago-6",165,1-10M,11-50,2014-11-11,4250 N Marine Dr.,Chicago,IL,60613,US,"+18156399599, +17732368797, +17732321898",info@h2hmovers.com,,2026-05-25,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,H2H Movers,has_public,info@h2hmovers.com,ok,skipped,info@h2hmovers.com,P0,done
Celina Moving and Storage,celinamovingandstorage.com,celinamovingandstorage.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"B2B:0.96, B2C:0.81","services celina:0.57, corporate moving:0.55, relocation services:0.54, facilities celina:0.54, relocation corporate:0.54, business relocation:0.53, celina moving:0.53, company celina:0.53, residential moving:0.53, customers celina:0.53, moving services:0.52, movers corporate:0.5, moving storage:0.49, intrastate movers:0.43, gsa movers:0.42","Celina Moving and Storage is a family-owned moving company that offers a range of relocation services for both residential and commercial clients. Their main functionalities include local, long-distance, military, and specialized moving for items like art and antiques, as well as warehouse storage solutions. They provide tailored moving plans, free estimates, and have experience working with various countries to assist with international moves. The company has been operating since 1960 and emphasizes customer satisfaction through professional service and integrity in its operations.","https://www.linkedin.com/company/celina-moving-and-storage-inc, https://www.facebook.com/celinamovingcelina, https://twitter.com/celinamoving, https://x.com/celinamoving",22,10-100M,11-50,2021-09-15,,Celina,OH,45822,US,+14195867731,customerservice@celinamoving.com,celinamoving.com,2026-06-09,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Celina Moving and Storage,has_public,customerservice@celinamoving.com,ok,skipped,customerservice@celinamoving.com,P0,done
