Name,Domain,Segment Description,Proximity,Segment Id,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,Customer Type,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status,AI assist
Local Motion Moving Company,localmotion.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:0.92,"B2B:0.66, B2C:0.94","family run business:0.31, local option:0.24, run business:0.2, administrative staff:0.19, family run:0.17, heavy lifting:0.16, estimate request:0.15","Trusted Local Motion Moving Company offers a range of moving services including packing, storage, and general moving assistance. Their main functionality is to provide trained and background-checked movers who can handle various aspects of the move process, such as heavy lifting, packing, and storage solutions. They also offer free estimates for local moves and have experience in multiple neighborhoods across Minnesota and beyond, ensuring personalized support throughout the moving process.","https://www.linkedin.com/company/local-motion-moving, https://www.instagram.com/localmotionmn, https://twitter.com/localmotionmn",416,1-10M,11-50,2007-03-22,1250 Zane Ave N,Maple Grove,MN,55422,US,+19524746683,david.seeley@localmotion.com,,2026-06-08,"{""B2B"": 0.66, ""B2C"": 0.94}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Local Motion Moving,has_public,david.seeley@localmotion.com,ok,skipped,david.seeley@localmotion.com,P0,done,Noticed that you've been handling moves around Maple Grove since 2007 with a team of 11-50.
Red Shoe Movers,redshoemovers.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:1.0,"B2B:0.51, B2C:0.98","movers quality:0.49, furniture delivery:0.49, warehouse storage:0.45, pickup delivery:0.45, storage pickup:0.44, page warehouse:0.41, delivery red:0.4, shoe movers:0.39, shoe services:0.38, shipping company:0.37, moving town:0.35, truck dollies:0.33, contact red:0.32, estate items:0.3, art installation:0.28","Red Shoe Movers is a moving company that offers home and art installation services. They provide professional moving assistance, including furniture delivery, unpacking, and assembly, using their fleet of vehicles such as a van and box truck. The company emphasizes quality service, customer satisfaction, and ongoing communication throughout the moving process.",,110,1-10M,11-50,2021-02-03,44 Interstate Boulevard,Asheville,NC,28806,US,"+18282422626, +18284123960","dispatch@redshoemovers.com, admin@redshoemovers.com, joseph@redshoemovers.com",,2026-06-07,"{""B2B"": 0.51, ""B2C"": 0.98}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Red Shoe Movers,has_public,"dispatch@redshoemovers.com, joseph@redshoemovers.com",ok,skipped,dispatch@redshoemovers.com,P0,done,Noticed that Red Shoe Movers in Asheville has been handling both home moves and art installations since 2021.
Ortega's Moving & Delivery,ortegasinc.com,Full-Service Moving and Storage,1,1,"CONSUMER_SERVICES:0.62, SUPPLY_CHAIN_AND_PROCUREMENT:0.35","B2B:0.98, B2C:0.97","moving delivery:0.53, business moving:0.45, delivery local:0.43, ortega moving:0.42, disposal delivery:0.41, storage inventory:0.39, ship valuables:0.39, shipping crate:0.39, ortega certified:0.39, irvine company:0.38, orange county:0.37, county receiving:0.33, ca 92627:0.32, consignments designers:0.26, content home:0.26","Ortega's Moving & Delivery is a family-owned business that provides moving services for both residential and commercial clients in Orange County. Their main offerings include home storage, packing, shipping, and donation options. They also provide a receiving hub for local designers and offer custom crate builds for safe shipping. The company has been serving the community since 2005 and emphasizes personalized service and 24/7 monitoring for their clients.","https://www.instagram.com/ortegasinc, https://www.yelp.com/biz/ortegas-delivery-service-costa-mesa-2?utm_campaign=www_business_share_popup&utm_medium=copy_link&utm_source=(direct)",105,1-10M,11-50,2021-02-05,660 W 17Th Street,Costa Mesa,CA,92627,US,+19496453200,"service@ortegasinc.com, service@ortegasdeliveryservice.com",,2026-06-05,"{""B2B"": 0.98, ""B2C"": 0.97}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Ortega's Moving & Delivery,has_public,"service@ortegasinc.com, service@ortegasdeliveryservice.com",ok,skipped,service@ortegasinc.com,P0,done,Not many moving companies in Costa Mesa offer a receiving hub for local designers like you do.
A-$AV-ON Moving Ltd.,asavonmoving.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:0.97,"B2B:0.98, B2C:0.95","moving calgary:0.67, calgary moving:0.63, services calgary:0.6, residential moving:0.56, moving services:0.51, centre calgary:0.49, relocation moving:0.49, commercial relocation:0.48, moving company:0.45, calgary owned:0.44, moving provided:0.44, 100 calgary:0.43, residential packing:0.41, moving supplies:0.4, senior discount:0.32","A Moving Company in Calgary offers a range of moving and relocation services for both residential and commercial clients. They provide free estimates, packing materials, and assistance with furniture transfers, ensuring reliable service throughout the moving process. With over 25 years of experience, they emphasize customer satisfaction and have received multiple accreditations for their quality services. The company also offers office relocations and provides support for those relocating to Western Canada.",,151,<1M,11-50,2016-11-11,,Calgary,AB,,CA,+14032088060,asavonmoving@shaw.ca,,2026-05-20,"{""B2B"": 0.98, ""B2C"": 0.95}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,A-$AV-ON Moving,has_public,asavonmoving@shaw.ca,ok,skipped,asavonmoving@shaw.ca,P0,done,Noticed that you’ve been handling relocations to Western Canada out of Calgary since 2016.
Cheep Cheet Movers,cheepcheepmovers.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:1.0,B2C:0.97,"movers minneapolis:0.58, minneapolis movers:0.55, local movers:0.51, home moving:0.47, moving services:0.47, minneapolis local:0.42, movers thank:0.42, moving company:0.41, movers 612:0.41, 6605 minneapolis:0.41, zip place:0.41, moving easy:0.4, movers cheep:0.4, bedrooms partial:0.37, estimate moving:0.34","Cheep Cheep Movers is a local moving service based in Minneapolis that offers various moving solutions, including local moves, loading and unloading, and specialized services like indoor and outdoor relocations. The company focuses on providing personalized support throughout the moving process to ensure a stress-free experience for clients. Customers can request free estimates and choose from different types of moving services tailored to their needs.",,92,<1M,11-50,2019-05-07,,Minneapolis,MN,,US,,info@cheepcheepmovers.com,,2026-05-20,"{""B2C"": 0.97}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Cheep Cheet Movers,has_public,info@cheepcheepmovers.com,ok,skipped,info@cheepcheepmovers.com,P0,done,Noticed that you’ve been handling both indoor and outdoor relocations around Minneapolis since 2019.
Aloha Isle Moving,alohaislemoving.com,Full-Service Moving and Storage,0.88,1,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.98","hawaii moving:0.62, moving island:0.58, hawaii customers:0.55, services island:0.52, moving kauai:0.5, island hawaii:0.5, island state:0.5, different island:0.49, aloha isle:0.47, state hawaii:0.46, isle moving:0.46, island neighbor:0.45, company aloha:0.41, business moving:0.41, dryer assistant:0.34","Aloha Isle Moving is a transportation service that specializes in personal and business moves across Hawaii. The company offers transportation solutions for both local and long-term moving needs, including the relocation of household items like dryers and furniture. Customers can request quotes for their moving requirements through the website, which also features customer testimonials highlighting their professional service and professionalism.",https://www.linkedin.com/company/aloha-isle-moving-inc,196,1-10M,11-50,2018-01-03,1811 Leleiona Street,Lihue,HI,96766,US,"+18082451985, +18082452079",aim@alohaislemoving.com,,2026-06-07,"{""B2B"": 0.97, ""B2C"": 0.98}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Aloha Isle Moving,has_public,aim@alohaislemoving.com,catch_all,deliverable,aim@alohaislemoving.com,P0,done,Noticed that you’ve been handling moves across Hawaii from Lihue since 2018.
"Modular Interiors, Inc.",modularinteriors.net,Full-Service Moving and Storage,0.74,1,CONSUMER_SERVICES:0.92,B2B:0.64,"interiors utah:0.63, locations modular:0.55, modular interiors:0.52, utah location:0.46, west valley:0.43, services locations:0.41, locations overview:0.41, portfolio locations:0.4, colorado location:0.4, suite west:0.4, needs place:0.39, location 3760:0.39, help furniture:0.33, nevada new:0.32, overview arizona:0.32","Modular Interiors is a company that provides furniture and moving services across various locations in the United States. Their main functionality includes offering tailored solutions for home improvement, renovations, and repairs, ensuring clients receive expert guidance throughout their moves. Key features include a focus on quality service, quick turnaround times, and a commitment to customer satisfaction with transparent pricing without hidden fees.","https://www.linkedin.com/company/modular-interiors-inc., https://instagram.com/modularinteriorsinc, https://twitter.com/modularint",281,1-10M,11-50,2016-10-11,4900 Osage Street,Denver,CO,80221,US,"+13037730027, +18334452385",mi@modularinteriors.net,,2026-05-29,"{""B2B"": 0.64}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Modular Interiors,has_public,mi@modularinteriors.net,ok,skipped,mi@modularinteriors.net,P0,done,Not many Denver movers have spent nearly a decade focusing on tailored solutions for home improvement and repairs.
"Texas Moving Company, Inc.",texasmoving.com,Full-Service Moving and Storage,0.73,1,"SUPPLY_CHAIN_AND_PROCUREMENT:0.62, CONSUMER_SERVICES:0.18","B2B:0.93, B2C:0.53, B2G:0.67","relocation services:0.6, texas moving:0.58, services texas:0.57, warehousing texas:0.55, service texas:0.54, transportation office:0.52, transportation service:0.52, electronic transportation:0.47, info texas:0.45, moving company:0.45, careers mover:0.44, tx 75056:0.44, data center:0.44, moves storage:0.4, services data:0.38","Texas Moving Company offers relocation services specializing in data center equipment, office and industrial moves, electronic transportation, hazardous material transportation, and storage solutions. Their main functionality includes providing professional moving assistance for various sectors such as government offices, schools, banks, and hospitals, ensuring personal accountability for high-value items through their own fleet of trucks. They offer customized insurance coverage plans that include 24/7 customer log-in access to track the load and provide a no-obligation quote process for potential clients.",https://www.linkedin.com/company/texas-moving-co.-inc.,152,1-10M,11-50,2016-12-09,601 Tittle Dr,The Colony,TX,75056,US,"+19722346371, +18008626683, +19724375342",operations@texasmoving.com,,2026-05-31,"{""B2B"": 0.93, ""B2C"": 0.53, ""B2G"": 0.67}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Texas Moving,has_public,operations@texasmoving.com,ok,skipped,operations@texasmoving.com,P0,done,Not many movers in The Colony have handled data center equipment and hazardous materials since 2016.
Mister Movers,mistermovers.com,Full-Service Moving and Storage,0.71,1,CONSUMER_SERVICES:0.91,B2C:0.9,"moving services experience:0.59, moving experience:0.45, moving experience possible:0.43, services experience:0.41, services experience stress:0.31, experience possible:0.18, professional team:0.15, wide range:0.11, experience stress:0.05, free quote:0.05, constant communication:0.02, big vision:-0.0","Mistermovers.com is a moving company that provides a variety of moving services, including packing, loading, transportation, and unpacking. Founded in 2011, the company focuses on delivering a stress-free moving experience through experienced professionals who are dedicated to customer satisfaction. They offer free quotes for their moving services and maintain communication throughout the move process to ensure quality service.",,116,1-10M,11-50,2018-07-25,2518 Northland Drive,Mendota Heights,MN,55120,US,+19522171749,moving@mistermovers.com,,2026-06-04,"{""B2C"": 0.9}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Mister Movers,has_public,moving@mistermovers.com,ok,skipped,moving@mistermovers.com,P0,done,Noticed that Mister Movers has been serving Mendota Heights since 2018 with a team of 11-50.
"Primary Source Installation, Inc.",primarysourceinstallation.com,Full-Service Moving and Storage,0.65,1,"BUSINESS_PRODUCTS_AND_SERVICES:0.72, CONSUMER_SERVICES:0.2","B2B:0.85, B2C:0.91","installation furniture:0.59, furniture installation:0.57, service furniture:0.57, residential furniture:0.56, services furniture:0.56, warehousing furniture:0.55, furniture residential:0.55, shop furniture:0.54, furniture handling:0.54, models furniture:0.5, installation warehousing:0.42, home builders:0.42, designers custom:0.37, blueprint floor:0.37, psi built:0.33","Primary Source Installation (PSI) is a furniture installation company based in Central Arizona and Southern California. They provide services such as custom furniture installation, white glove delivery, warehousing, transportation, and inventory management for high-end residential properties, including model homes and senior living communities. PSI emphasizes customer satisfaction and offers personalized project solutions tailored to client needs, ensuring product safety through advanced inspection processes and secure storage options. Their team has over 25 years of experience and works closely with clients across various industries.","https://www.facebook.com/primarysourceinstallationaz, https://www.instagram.com/primarysourceinstallation, https://www.instagram.com/primarysourceinstallation/?utm_source=ig_embed&utm_campaign=loading",84,1-10M,11-50,2023-05-10,9144 Magnolia Ave.,Prescott Valley,AZ,86314,US,"+17142316459, +18002102177, +19287921043",kristy@primarysourceinstallation.com,,2026-06-07,"{""B2B"": 0.85, ""B2C"": 0.91}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Primary Source Installation,has_public,kristy@primarysourceinstallation.com,ok,skipped,kristy@primarysourceinstallation.com,P0,done,Not many moving companies in Prescott Valley focus on custom furniture installation for model homes and senior living communities.
