Name,Input:Domain,Domain,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status
904 Movers LLC,904movers.com,904movers.com,CONSUMER_SERVICES:0.9,"B2B:0.97, B2C:0.74","emergency relocation quote:0.45, destination zip:0.4, movers minimize downtime:0.37, expert office moving:0.36, insured team:0.23, mailing address:0.18, reliable experience:0.17, quote comprehensive solutions:0.17, community support:0.15, legal business:0.14, party carrier:0.13, upfront estimate:0.12, secure storage:0.1, message frequency:0.08, extra space:0.08","904 Movers is a moving company based in Jacksonville, Florida, offering local and long-distance moves. Their main services include packing, transportation, storage, and home staging for residential and commercial relocations. The team is fully licensed and insured, ensuring safety and reliability, and provides transparent pricing with no hidden fees. They also offer free estimates via phone or virtual consultations to help clients plan their move effectively.","https://www.instagram.com/904movers, https://twitter.com/904movers, https://x.com/904movers, https://www.yelp.com/biz/904-movers-jacksonville?utm_campaign=www_business_share_popup&utm_medium=copy_link&utm_source=(webiste)",108,1-10M,11-50,2018-06-27,,Jacksonville,FL,32207,US,+19042282120,"info@904movers.com, mark@904movers.com",,2026-06-12,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,904 Movers,has_public,"info@904movers.com, mark@904movers.com",ok,skipped,info@904movers.com,P0,done
AB Moving Services,abmovingservices.com,abmovingservices.com,CONSUMER_SERVICES:0.91,"B2B:0.92, B2C:0.91","moving brokerage:0.5, secure relocation:0.38, customer service:0.38, affordable rate:0.3, comprehensive packing:0.29, post office:0.27, successful long distance:0.27, comprehensive insurance:0.21, careful handling:0.2, new address:0.19, detailed checklist:0.16, easy way:0.13, basic kitchen:0.11, readable content:0.09, unlock value:0.08","AB Moving Services is a moving brokerage that connects clients with professional moving companies tailored to their specific needs. Their main services include residential and commercial moving, packing and unpacking, loading andloading of belongings, and auto transport. The company emphasizes safety, customer satisfaction, and offers 24/7 support for assistance during the move, ensuring a smooth relocation process. They also provide resources such as packing materials, storage solutions, and tips for long-distance moves.",,83,1-10M,11-50,2021-08-20,4 Haddonfield Road,Cherry Hill,NJ,08002,US,+18559963735,info@abmovingservices.com,,2026-06-05,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,AB Moving Services,has_public,info@abmovingservices.com,ok,skipped,info@abmovingservices.com,P0,done
Absolute Moving System,absolutemoving.net,absolutemoving.net,CONSUMER_SERVICES:0.9,"B2B:0.98, B2C:0.96","commercial moving:0.45, faq moving:0.41, distance moving:0.33, state area:0.32, storage facility:0.23, great service:0.21, small job:0.12, price quote:0.09, big life:0.08, new wood:0.08, professional staff:0.06, entire household:0.05, closing date:0.05, heavy sleeper sofa:0.02, velcro piece:-0.01","Absolute Moving System is a family-owned moving company based in New Jersey that offers a range of moving services for both local and long-distance moves. They specialize in various types of moves, including residential, commercial, and specialized packing services such as pianos and fine art. The company provides free quotes, 24/7 customer support, and operates throughout the tri-state area, ensuring efficient handling of belongings and transportation.",https://www.linkedin.com/company/absolute-moving,150,1-10M,11-50,2018-07-08,944 Rt. 33,Monroe,NJ,08831,US,+17325458758,absolutemoving@comcast.net,,2026-06-08,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Absolute Moving System,has_public,absolutemoving@comcast.net,unknown,deliverable,absolutemoving@comcast.net,P0,done
Adams Moving and Storage,adamsmovingandstorage.com,adamsmovingandstorage.com,CONSUMER_SERVICES:1.0,"B2B:0.9, B2C:0.99","moving storage:0.61, storage home:0.56, storage booking:0.55, moving business:0.53, storage company:0.53, moving services:0.53, residential moving:0.51, adams moving:0.47, ensuring belongings:0.47, movers report:0.45, relocations care:0.45, quote storage:0.42, packing assistance:0.42, business adams:0.4, furniture packaging:0.39","Adam's Moving and Storage is a family-owned moving company that offers residential, commercial, and long-distance relocation services across the United States. Their main functionalities include packing assistance, secure storage solutions, and furniture assembly and disassembly. They provide free quotes for moving services and emphasize customer support throughout the moving process, ensuring a seamless experience for clients both locally and internationally.",https://www.facebook.com/adamsmovingplusstorage?ref=page_internal,82,1-10M,11-50,2019-08-14,,Adams,NY,13080,US,+18774182031,service@adamsmovingandstorage.com,,2026-06-10,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Adams Moving and Storage,has_public,service@adamsmovingandstorage.com,ok,skipped,service@adamsmovingandstorage.com,P0,done
"Adolfo & Sons Moving, Co.",adolfonsonsmoving.com,adolfonsonsmoving.com,CONSUMER_SERVICES:0.89,"B2B:0.99, B2C:0.97","interstate commercial moving:0.57, office moving packing:0.47, professional moving:0.45, free relocation:0.43, dependable moving support:0.41, moving estimate:0.27, distance transition:0.26, local area:0.19, assistance furniture loading:0.18, personalized customer service:0.17, reliable company:0.16, careless handling:0.12, efficient scheduling:0.08, milder weather:0.03, head start:-0.0","Adolfo & Sons Moving is a licensed moving company based in Palmdale, CA, specializing in residential and commercial relocation services for homes and businesses. They offer a range of moving solutions including long-distance transportation, packing, unpacking, and storage assistance, as well as specialized moves for office relocations and furniture transfers. The company emphasizes transparent pricing with no hidden fees, professional customer service, and a structured process that includes initial consultations, move scheduling, and ongoing support after the move.","https://business.facebook.com/adolfo-sons-moving-867931009953585, https://www.yelp.com/biz/adolfo-and-sons-moving-and-trucking-palmdale-2",83,1-10M,11-50,2020-01-24,,Desert View Highlands,CA,,US,"+16614499635, +16616746450",info@adolfonsonsmoving.com,,2026-06-08,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Adolfo & Sons Moving,has_public,info@adolfonsonsmoving.com,ok,skipped,info@adolfonsonsmoving.com,P0,done
Affordable Los Angeles Movers,affordablelosangelesmovers.com,affordablelosangelesmovers.com,CONSUMER_SERVICES:0.9,"B2B:0.96, B2C:0.96","residential movers:0.64, residential moving:0.63, angeles moving:0.62, affordable moving:0.6, angeles movers:0.6, relocating business:0.57, moving homes:0.57, moving los:0.54, movers hours:0.52, movers local:0.52, moving services:0.49, package residential:0.49, moving help:0.48, moving truck:0.44, packing services:0.42","Affordable Los Angeles Movers is a moving company that provides professional moving services for residential, commercial, and long-distance moves in Los Angeles and surrounding areas. Their main functionality includes all-inclusive moving packages with no hidden fees, transportation, packing, and storage solutions. Key features include free estimates, onsite moving consultations, specialized packing services, and assistance with furniture installation and move assembly. The company aims to simplify the moving process by offering tailored pricing options and ensuring customer satisfaction throughout the moving experience.","https://www.facebook.com/affordablelosangelesmovers, https://www.yelp.com/biz/affordable-los-angeles-movers-los-angeles-2",91,1-10M,11-50,2019-06-11,106 Judge John Aiso St,Los Angeles,CA,90012,US,+13236921060,info@affordablelosangelesmovers.com,,2026-06-05,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Affordable Los Angeles Movers,has_public,info@affordablelosangelesmovers.com,ok,skipped,info@affordablelosangelesmovers.com,P0,done
All About Moving & Storage,all-aboutmoving.com,all-aboutmoving.com,CONSUMER_SERVICES:0.88,"B2B:0.74, B2C:0.93","moving storage:0.54, storage job:0.51, storage moving:0.51, storage options:0.5, grand forks:0.5, company storage:0.47, storage experienced:0.47, storage company:0.45, storage 701:0.42, moving company:0.38, term storage:0.38, service moving:0.37, survey moving:0.31, minnesota areas:0.31, 4100 trevor:0.28","The website offers full-service moving and storage solutions in Grand Forks, North Dakota, specializing in various types of moving services. It provides options for both residential and commercial moves, including family relocations, home staging, and vehicle rentals. The company emphasizes professional service with a focus on customer satisfaction and competitive pricing, ensuring that clients receive tailored support throughout the moving process. Additionally, they offer flexible storage plans and have multiple locations across North America to accommodate different needs.","https://www.linkedin.com/company/all-about-moving-inc, https://www.facebook.com/allaboutmovin, https://www.instagram.com/allaboutmoving58201",163,1-10M,11-50,2016-08-26,2402 N 69Th St,Grand Forks,ND,58203,US,"+17013658600, +17017724100",trevor@all-aboutmoving.com,,2026-06-02,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,All About Moving & Storage,has_public,trevor@all-aboutmoving.com,ok,skipped,trevor@all-aboutmoving.com,P0,done
All America Enterprises Inc,allamericasite.com,allamericasite.com,CONSUMER_SERVICES:0.93,"B2B:0.94, B2C:0.88","customer service:0.25, extra mile:0.13, stress free:-0.0, toggle navigation:-0.01, committed rain:-0.03","All American Enterprises is a moving service provider that offers transportation and support for families and businesses in Southern California. Their main functionality includes transporting medical supplies, providing home staging, and ensuring smooth logistics for moving needs. They also offer assistance with insurance claims and provide free estimates and quotes for various services related to moving expenses.",,88,1-10M,11-50,2016-02-05,,Los Angeles,CA,,US,"+18183330887, +18185312727, +18885471419",sales@allamericasite.com,,2026-06-13,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,All America Enterprises,has_public,sales@allamericasite.com,ok,skipped,sales@allamericasite.com,P0,done
All Assured Moving Services,allassuredmovingservicesva.com,allassuredmovingservicesva.com,CONSUMER_SERVICES:0.91,"B2B:0.99, B2C:0.95","moving service:0.57, experienced moving:0.32, new location:0.31, long distance:0.2, small business:0.2, customer service:0.19, detailed consultation:0.17, legal contract:0.09, reasonable effort:0.08, easy task:0.07, great company:0.07, prior notice:0.03, accurate information:0.02","All Assured Moving Services offers residential, commercial, and specialty moving services in Northern Virginia. Their main functionality includes planning moves, organizing packing, transporting belongings, and providing specialized services like furniture removal and piano relocation. They provide detailed estimates, personalized customer service, and a team of experienced moving professionals who prioritize the safety and well-being of fragile items during the move process.",https://www.facebook.com/allassuredmoving,77,<1M,11-50,2019-10-17,6784 Hollow Glen Ct,Gainesville,VA,20155,US,"+17034639798, +17037327011",allassuredmoving@comcast.net,,2026-06-07,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,All Assured Moving Services,has_public,allassuredmoving@comcast.net,unknown,deliverable,allassuredmoving@comcast.net,P0,done
Allegiant Moving Systems,allegiantmovingsystems.com,allegiantmovingsystems.com,"CONSUMER_SERVICES:0.79, SUPPLY_CHAIN_AND_PROCUREMENT:0.18","B2B:0.99, B2C:0.98","moving packing:0.65, moving services:0.59, moving relocating:0.58, moving household:0.56, relocating intrusive:0.54, packing services:0.54, moving requires:0.52, international moving:0.52, moving carrier:0.52, reliable moving:0.49, moving trucks:0.47, moving industry:0.47, moving experience:0.47, auto transport:0.44, destination allegiant:0.43","Allegiant Moving Systems is a moving company that offers a range of services for residential, commercial, and corporate relocations. Their main functionalities include long-distance moving, packing services, storage solutions, and auto transport. They provide flexible scheduling, free estimates, and assistance with claims during the move, as they do not operate as a motor carrier or own moving trucks. Customers can request quotes through their online platform, which matches them with licensed carriers tailored to their moving needs.",,98,1-10M,11-50,2017-08-07,7900 E Union Ave,Denver,CO,80237,US,"+13052049193, +17183953208, +17862311191, +18442759209, +18552252999, +18666254869, +18882523952",info@allegiantmovingservices.com,,2026-06-05,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Allegiant Moving Systems,has_public,info@allegiantmovingservices.com,ok,skipped,info@allegiantmovingservices.com,P0,done
