query_name,segment,Domain,Name,company_clean,icp_fit,industry_groups,business_model,Score,similarity,revenue_range,employees,start_date,City,State,Country,phones,public_emails,description,batch_id,emails_ok_count,emails_catchall_count,contacts_with_ok,reachable_status,ingested_at,Company,Title,Seniority,Department,Email,Verified,Phone,Social,Connections,_sheet_id,✨ ICP Fit,Similarity,Industry Groups,Employees,Start Date,Street,Zip,Redirect Domain,Description,Keywords,Update Date,source_sheet
General Moving Companies in US / CA,no_contacts,jpmovesyou.com,JP Moves You Inc.,JP Moves You,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.96",75,,<1M,1-10,2021-04-26,Toronto,ON,CA,+14165794000,jp@jpmovesyou.com,"JP Moves You is a Canadian company that provides delivery and moving services for both residential and commercial clients. Their main offerings include residential moving, packing, new furniture pickup, delivery, assembly, junk removal, and donation services. The company aims to simplify the moving process while ensuring customer satisfaction through professional service and efficient solutions.",moveplnr-2026-05-29-companies-batch100-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,awnationwide.com,AW Nationwide Movers,AW Nationwide Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.96",59,,1-10M,11-50,2024-03-22,Los Angeles,CA,US,+18336684642,sales@awnationwide.com,"AW Nationwide Movers is a moving service provider that offers a variety of solutions for residential, commercial, and international moves. Their main functionalities include packing, transporting, unpacking, and providing specialized services such as junk removal, secure storage, and senior move support. They also offer free estimates based on the specific needs of clients, ensuring timely delivery and personalized moving plans tailored to individual schedules.",moveplnr-2026-05-29-companies-batch100-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,fromheretothereky.com,From Here to There,From Here to There,yes,CONSUMER_SERVICES:1.0,"B2B:0.94, B2C:0.91",99,,1-10M,1-10,2020-10-22,Lexington,KY,US,+18598932602,,"From Here to There is a moving company based in Lexington, KY, offering residential and commercial moving services. Their main functionalities include packing, storage, furniture delivery, and specialized moves for seniors and families. They provide free estimates, flexible financing options, and a dedicated team of experienced movers who prioritize efficiency and customer satisfaction throughout the moving process. The company also offers specialized services like estate clean-outs and junk rem",moveplnr-2026-05-29-companies-batch100-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,yourlocalmoversbc.com,Your Local Movers BC,Your Local Movers BC,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.97",221,,1-10M,1-10,2019-01-20,Vancouver,BC,CA,+16043084831,contact@yourlocalmoversbc.com,"Your Local Movers BC offers moving and storage services for both residential and commercial clients in Vancouver and the Lower Mainland. Their main functionalities include same-day consultations, packing and supply assistance, junk removal, and secure storage solutions. They provide a flat hourly rate, minimize travel costs, and ensure that all moves are planned and executed with attention to detail, using protective equipment and efficient loading methods. The company also specializes in delive",moveplnr-2026-05-29-companies-batch100-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,smileymovers.com,Smiley Movers,Smiley Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.77",35,,1-10M,1-10,2024-03-18,New York,NY,US,+19292950125,"sales@smileymovers.com, alex@smileymovers.com","Smiley Movers is a moving company based in New York City that offers local, long-distance, and last-minute moving services. Their main functionality includes providing professional packing, storage solutions, and furniture disassembly for moves of all sizes. They offer a flat rate quote system with no hidden fees, reliable truck handling across the East Coast, and an app platform for efficient move management. Smiley Mo Moving aims to simplify the moving process by simplifying processes and ensu",moveplnr-2026-05-29-companies-batch100-1,0,2,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,eastlandmovers.com,Eastland Movers,Eastland Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.84, B2C:0.98",68,,N/A,11-50,2020-05-29,Gaithersburg,MD,US,+18336683800,office@eastlandmovers.com,"Eastland Movers is a moving company that offers professional relocation services for both residential and commercial clients. Their main functionality includes providing transparent pricing with no hidden fees, on-time service guarantees, and a damage-free guarantee on belongings. Key features include local and interstate moving options, expert packing services, climate-controlled storage solutions, and the ability to handle moves from small apartments to large corporations. The company emphasiz",moveplnr-2026-05-29-companies-batch100-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,smallmovesvancouver.com,Small Moves Vancouver,Small Moves Vancouver,yes,CONSUMER_SERVICES:0.99,"B2B:0.91, B2C:0.85, B2G:0.98",30,,1-10M,1-10,2022-05-18,Vancouver,BC,CA,+16048002715,info@smallmovesvancouver.com,"Small Moves Vancouver is a local moving company that offers professional moving services for residential, corporate, and government moves across the Vancouver Lower Mainland. They provide tailored moving solutions for various needs, including studio apartments, family homes, and large-scale relocations, with a fleet of trucks and flexible crew sizes. The company emphasizes customer service, professionalism, and safety, ensuring that all movers are licensed and insured to handle safe and efficien",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,ogremanmovers.com,Ogre Man Movers,Ogre Man Movers,yes,CONSUMER_SERVICES:0.99,"B2B:0.94, B2C:0.96",56,,1-10M,1-10,2019-11-11,Austin,TX,US,"+15128221199, +18666473626",,"Ogre Man Movers is a full-service moving company that provides a range of services for both residential and commercial moves. Their offerings include furniture delivery, heavy lifting, packing supplies, junk removal, storage services, and white glove service. The team consists of experienced movers with at least five years in the industry, ensuring a seamless move experience while prioritizing safety and detail. They also offer competitive pricing and provide free estimates within 24 hours.",moveplnr-2026-05-29-companies-batch100-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,alltherightmovesltd.com,All The Right Moves Ltd.,All The Right Moves,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.94",25,,1-10M,1-10,2022-11-13,New Hyde Park,NY,US,+15163546683,,"All the Right Moves Ltd is a moving company that offers residential and commercial moving services across Long Island, New York, and surrounding areas. Their main functionalities include packing, unpacking, and storage services, as well as specialized services for items like pianos, fine arts, and antiques. They utilize advanced airlift trucks to transport belongings efficiently and provide expert assistance throughout all phases of the moving process, including packing, unboxing, and disposal.",moveplnr-2026-05-29-companies-batch100-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,aonemovers.ca,A One Movers,A One Movers,yes,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.95",30,,N/A,1-10,2024-06-12,Brampton,ON,CA,+16475124570,info@aonemovers.ca,"A One Movers is a Canadian moving company that offers professional relocation services for both residential and commercial moves across Canada. Their main functionalities include local and long-distance moving, packing services, same-day relocation, and secure storage solutions. The team consists of trained professionals who ensure safe handling of belongings and provide comprehensive support throughout the move process, including insurance coverage for all aspects of the moving experience.",moveplnr-2026-05-29-companies-batch100-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
