Company,Size,Stage,Topics,Roles,Tier1_LeadGen_Growth,Tier2_Sales_Marketing,ICP_B2B,HOT
Riskified,201-500,Other,-,9,"(Senior) HR Business Partner, Go to Market (GTM) | Enterprise Business Development Representative | Senior Sales Enablement Manager | Senior Revenue Enablement Manager | Senior Global Revenue Enablement Manager",,Y,Y
Oasis Security,51-200,Series B,Cybersecurity,17,Go To Market Enablement Manager | Campaign & Pipeline Marketing Manager | Revenue Operations Manager | Business Development Representative (BDR),"Field Marketing & Events Manager -Northeast + New England | Field Marketing & Events Manager -Southeast & Mid-Atlantic | Strategic ֿAccount Executive - Northeast (NYֿ) | Enterprise Account Executive - Northeast (NY) | Area Director, Sales Engineering - West | Area Director, Sales Engineering - East | Area VP of Sales - East | Senior Technical Account Manager - Remote - EST / NY",Y,Y
Via,501-1K,Ipo,Other,41,"VP, Consumer Growth Marketing | Consumer Growth Marketing Principal | Consumer Growth Marketing Associate","Director, Strategic Partnerships, Eastern US | VP, Product Marketing",Y,Y
Melio,201-500,Acquisition,-,8,Partnerships & Go-To-Market Associate | Sales Development Representative,"Senior Marketing Manager (12 month Contract-to-Hire) | Senior Account Executive - UHV Payors | Senior Account Executive, Strategic Partnerships & Affiliates | Strategic Account Executive - UHV Payors",Y,Y
Forter,201-500,Other,FinTech,9,"VP, Global Revenue Operations and Enablement | Enterprise Sales Development Representative","Lead Strategic Partnerships Manager, Financial Services | Strategic Account Executive | Senior Product Marketing Manager",Y,Y
Sweep,51-200,Series B,Other,5,AI Growth Marketing | Sales Development Representative,Account Executive,Y,Y
Base44,1-10,Acquisition,-,5,Sales Development Representative - AI Advocate,Senior Events Marketing Manager | Field Marketing Manager | Product Marketing Manager | Account Manager,Y,Y
Wix,1K+,Other,Other,5,Sales Development Representative - AI Advocate - Base44,Account Manager - Base44 | Senior Events Marketing Manager - Base44 | Field Marketing Manager - Base44 | Product Marketing Manager - Base44,Y,Y
Monto,51-200,Seed,FinTech,5,Business Development Representative,Account Executive | Partnerships Manager | Account Executive,Y,Y
Nimble,51-200,Series B,Other,8,RevOps,"Account Executive, Retail & CPG (Enterprise) | Enterprise Account Executive",Y,Y
Jedify,11-50,Other,AI Infrastructure,4,Business Development representative (BDR),Account Executive (AE) | Partnerships Manager,Y,Y
Notch,11-50,Seed,AI Infrastructure,5,"GTM, Founding Business Development",Strategic Account Executive | Product Marketing Manager,Y,Y
Outbrain,501-1K,Other,Adtech,7,Sales Development Representative,Sales Director,Y,Y
Payoneer,501-1K,Ipo,FinTech,6,GTM Lead - Stablecoin,Stablecoin Growth Lead,Y,Y
Clinii,11-50,Other,Other,2,Business Development Representative,Solutions Specialist,Y,Y
Guesty,201-500,Series F,Proptech,2,Business Development Representative,SMB Account Executive,Y,Y
Empathy,51-200,Series C,Other,5,Senior Demand Generation Manager,"Strategic Account Executive, Insurance and Wealth, East",Y,Y
Semperis,201-500,Series C,Cybersecurity,4,Business Development Representative,"Enterprise Sales Director, Philadelphia",Y,Y
Beti,51-200,Series B,Other,3,Business Development & Partnership Manager,Senior Enterprise Account Executive,Y,Y
CHEQ,201-500,Series C,Cybersecurity,2,Business Development Representative,Senior Content Marketing Manager,Y,Y
Sedric.ai,11-50,Other,FinTech,4,Growth Marketing Specialist,VP Sales US,Y,Y
zenity,51-200,Series B,Other,2,Head of Revenue Enablement,,Y,Y
Fireblocks,201-500,Other,Cybersecurity,15,"Business Development Manager, Blockchain and DeFi Ecosystem",,Y,Y
Agora,51-200,Series B,Proptech,2,Sales Development Representative - NY,,Y,Y
Personetics,201-500,Private Equity,-,4,Director of Demand Generation,,Y,Y
Lemonade,501-1K,Ipo,FinTech,12,Head of Business Development,,Y,Y
EX.CO,51-200,Series C,Other,2,"Director, Business Development",,Y,Y
Sisense,201-500,Series F,Other,1,Sales Enablement Analyst,,Y,Y
Unit,51-200,Series C,FinTech,4,Go To Market (NY),,Y,Y
Eon,51-200,Series D,Cybersecurity,4,Sales Development Representative,,Y,Y
Parter,11-50,Seed,Other,2,Business Development Representative (BDR),,Y,Y
Nilus,51-200,Series Unknown,FinTech,1,Business Development Representative (BDR) - NYC/Hybrid,,Y,Y
Team8,201-500,Series Unknown,-,21,,"Director, Cyber Insurance & Legal Partnership | Account Executive - US/New York | Director of Strategic Alliances | Strategic Account Manager | Reindeer- Account Executive",Y,
Papaya Global,201-500,Series D,-,9,,"Key Account Manager | Enterprise Account Manager | Director of Sales, US | Director of Sales, US | Account Executive",Y,
VAST Data,201-500,Series F,AI Infrastructure,13,,Sales Executive - Analytics & AI | Account Executive - Healthcare | Account Executive - Hedge Funds | Account Executive - NYC | Account Executive - Mid Atlantic,Y,
Pagaya Investments,201-500,Other,FinTech,12,,Growth Operations Associate | Growth Operations Associate | Director of Partnerships | Director of Partnerships,Y,
Cyera,201-500,Series F,-,13,,Customer Marketing Manager | Commercial Account Executive - Northeast | Account Manager | Channel Account Manager - NY Metro,Y,
Artemis,1-10,Other,Cybersecurity,10,,Senior Account Executive (Enterprise) | Channels and Partnerships Lead | Product Marketing Manager,Y,
Ocean,?,-,Cybersecurity,3,,Senior Product Marketing - USA | Head of Marketing - NY/NJ | Head of Marketing - NY/NJ,Y,
Taboola,501-1K,Other,Adtech,9,,"VP, Enterprise Advertising Sales - North America | Enterprise Advertising Sales Manager",Y,
Prime Security,11-50,Series A,Cybersecurity,3,,Enterprise AE | Senior Product Marketing Manager,Y,
"City Hive, Inc.",11-50,Series Unknown,Other,15,,Enterprise Account Manager | Marketing Manager,Y,
Nominal,11-50,Series A,Other,3,,Senior Enterprise Account Executive | Mid Market Account Executive,Y,
PointFive,51-200,Series A,AI Infrastructure,2,,"Senior Product Marketing Manager | Director, Global Solutions Engineering",Y,
Blockaid,51-200,Series B,Other,4,,"Account Executive, NYC | Partnerships Director",Y,
SimilarWeb,501-1K,Other,-,7,,Senior Field Marketing Manager - AI & Data Partnerships | Enterprise Account Executive - Data Partnerships,Y,
AppsFlyer,501-1K,Series Unknown,Other,3,,"Director of Agency & Strategic Partnerships, North America | Account Executive (San Francisco or New York)",Y,
ChargeAfter,51-200,Series B,FinTech,8,,Merchant Sales Manager | Merchant Sales Manager,Y,
Tulu,51-200,Series A,Proptech,5,,Full Cycle Account Executive (New York) | Growth Marketer (New York),Y,
Wiz,501-1K,Acquisition,-,5,,"Manager, Solutions Engineering, NY/NJ Mid-Enterprise & Enterprise",Y,
Claroty,201-500,Series F,Cybersecurity,3,,Director of Strategic Alliances,Y,
Atlas Invest,11-50,Series Unknown,FinTech,2,,Sales & Origination (NYC / Remote),Y,
UVeye,201-500,Series D,Other,17,,"Sales Director, Car Rental",Y,
Slice | Global Equity,11-50,Series A,FinTech,1,,Account Executive,Y,
Zencity,51-200,Series C,Other,3,,Enterprise Account Manager,Y,
Honeycomb Insurance,51-200,Series B,-,5,,"Regional Sales Manager, New York",Y,
Lema Ai,11-50,Other,Cybersecurity,2,,Technical Account Manager,Y,
Rein Security,1-10,Seed,Cybersecurity,1,,Account Executive,Y,
Miggo Security,11-50,Series A,Cybersecurity,2,,Alliance Account Executive - AWS & Strategic Ecosystem Partnerships,Y,
K Health,201-500,Series Unknown,Healthcare,12,,Medical Director-Health System Partnerships,Y,
Innovid,201-500,Other,Other,3,,"Senior Director, Sales",Y,
A.Team,51-200,Series A,Other,2,,AI Solutions Account Executive,Y,
Zafran Security,51-200,Series C,Cybersecurity,3,,"Regional Sales Manager, Majors (NYC)",Y,
Feedvisor,51-200,Series B,Retail,2,,Account Executive - Advertising & Pricing Technology,Y,
venn,51-200,Series B,Proptech,2,,Enterprise Account Manager,Y,
SentinelOne,501-1K,Other,-,1,,Future Opportunity: Commercial Account Executive,Y,
Oligo Security,51-200,Series B,Cybersecurity,1,,Enterprise Account Executive- North Central,Y,
Yotpo,201-500,Other,-,2,,Senior Product Marketing Manager,Y,
Bria,11-50,Series B,AI Infrastructure,1,,Data Partnership Manager - Media & IP Licensing,Y,
Debbie,51-200,Seed,FinTech,3,,Founding Partnerships Lead (NYC),Y,
Aquant,51-200,Series C,Other,1,,Senior Enterprise Account Executive NYC,Y,
Varonis,501-1K,Other,Cybersecurity,4,,Strategic Account Manager,Y,
Daisy,51-200,Undisclosed,Proptech,8,,,Y,
Bubble,501-1K,Series Unknown,B2C,9,,,N,
Simpleclosure,11-50,Series A,Other,2,,,Y,
Qodo ,?,-,AI Infrastructure,2,,,Y,
Fiverr,201-500,Ipo,Other,1,,,Y,
Clinch,51-200,Other,Other,3,,,Y,
April (Getapril.com),51-200,Series B,FinTech,5,,,Y,
Bounce,11-50,Other,-,3,,,Y,
Nagish,11-50,Other,B2C,4,,,N,
WSC Sports,201-500,Series D,Other,3,,,Y,
Altshare,51-200,Other,"FinTech, Other",1,,,Y,
Nanit,51-200,Private Equity,Other,6,,,Y,
Vega Ventures,1-10,Other,Cybersecurity,1,,,Y,
Sunbit,201-500,Other,-,9,,,Y,
Finout,51-200,Series C,Other,2,,,Y,
trustmi-ai,11-50,Series A,Cybersecurity,1,,,Y,
Hyro,51-200,Series Unknown,Healthcare,2,,,Y,
OX Security,51-200,Series B,Cybersecurity,2,,,Y,
TailorMed - Medical Journey Innovations,51-200,Series B,Healthcare,2,,,Y,
Voyantis,51-200,Series B,Adtech,1,,,Y,
OpenWeb,201-500,Series F,Other,2,,,Y,
Cyabra,51-200,Ipo,Cybersecurity,1,,,Y,
At-Bay,201-500,Series Unknown,Cybersecurity,6,,,Y,
Tavily,11-50,Acquisition,AI Infrastructure,3,,,Y,
Cherre,51-200,Series C,Other,1,,,Y,
Zorro,11-50,Series A,Healthcare,2,,,Y,
Noma Security,11-50,Series B,-,1,,,Y,
Obligo,51-200,Undisclosed,Proptech,1,,,Y,
Crossborder Capital,1-10,Other,-,1,,,Y,
Applicaster,51-200,Series D,Other,1,,,Y,
Dreamhub,11-50,Seed,Other,1,,,Y,
Canopy,11-50,Other,Healthcare,1,,,Y,
