domain,company,category,sources,have_DMs
019sms.co.il,,,discolike_IL,no
10lead.co.il,,,discolike_IL,no
10pal.com,,,discolike_IL,no
10push.co.il,,,discolike_IL,no
10ten.co.il,,,supersoniq_proven,yes
123d.co.il,,,discolike_IL,no
13privacy.com,,,discolike_IL,no
1900.co.il,,,discolike_IL,no
1ailinks.com,,,discolike_IL,no
1beat.com,Onebeat,RetailTech,scrape|supersoniq_proven,yes
1click.one,,,discolike_IL,no
1com.co.il,,,discolike_IL,no
1mrobotics.com,,,supersoniq_proven,yes
1net.me,,,discolike_IL,no
24hr.co.il,,,discolike_IL,no
2500.co.il,,,discolike_IL,no
2552.org.il,,,discolike_IL,no
257.io,257,energy data saas,scrape,no
2mycard.co.il,,,discolike_IL,no
2sher.co.il,,,supersoniq_proven,yes
2sign.co.il,,,discolike_IL,no
3-simple-steps.com,,,discolike_IL,no
360compliance.co,,,supersoniq_proven,yes
3almaw3id.com,,,discolike_IL,no
3card.biz,,,discolike_IL,no
3dsignals.com,3D Signals,Industrial IoT,scrape,no
3gmuse.com,,,discolike_IL,no
412.co.il,,,discolike_IL,no
42ai.com,,,discolike_IL,no
4allsoft.com,,,discolike_IL,no
4card.co.il,,,discolike_IL,no
4m.co,4M Analytics,geospatial saas,scrape,no
580.co.il,,,discolike_IL,no
5ca.tech,,,discolike_IL,no
5liftoff.com,,,discolike_IL,no
634.ai,634 AI,Industrial AI,scrape,no
888poker.com,,,supersoniq_proven,yes
8fig.co,8fig,Ecommerce funding / SaaS,scrape,no
99digital.co.il,,,discolike_IL,no
a-tag.co.il,,,discolike_IL,no
abir-inv.com,,,supersoniq_proven,yes
abra-it.com,,,supersoniq_proven,yes
accel-ai.tech,,,discolike_IL,no
access4u.co.il,,,discolike_IL,no
accessibe.com,AccessiBe,web accessibility saas,scrape|supersoniq_proven,yes
accessibilityscanner.org,,,discolike_IL,no
accessible-docs.ai,,,discolike_IL,no
accessiblizer.com,Accessiblizer,Web Accessibility,scrape,no
account-it.co.il,,,discolike_IL,no
accountit.co.il,,,discolike_IL,no
aconex.co.il,,,discolike_IL,no
acsmotioncontrol.com,,,supersoniq_proven,yes
actifio.com,Actifio,Data management / backup,scrape,no
activecrm.co.il,,,discolike_IL,no
activepage.co.il,,,discolike_IL,no
activetrail.biz,,,discolike_IL,no
activtec.co.il,,,discolike_IL,no
adaptive-shield.com,Adaptive Shield,cyber,scrape|supersoniq_proven,yes
adaptive6.com,,,supersoniq_proven,yes
adasystem.co.il,,,discolike_IL,no
added.tv,,,discolike_IL,no
addme.website,,,discolike_IL,no
addressable.io,Addressable,Marketing SaaS,scrape,no
adely.co.il,,,discolike_IL,no
adexora.com,,,discolike_IL,no
adi-design.biz,,,supersoniq_proven,yes
adinholdings.com,,,supersoniq_proven,yes
admail.co.il,,,discolike_IL,no
admiral-tmura.co.il,,,discolike_IL,no
admiral.co.il,,,discolike_IL,no
admonis.co.il,,,discolike_IL,no
adnoomi.com,,,discolike_IL,no
adoric.com,,,discolike_IL,no
adsreport.xyz,,,discolike_IL,no
advance-services.co.il,,,discolike_IL,no
adverwizemenu.com,,,discolike_IL,no
advizy.me,,,discolike_IL,no
advm.org.il,,,supersoniq_proven,yes
adwar.online,,,discolike_IL,no
aff-wiz.com,,,discolike_IL,no
affectivemarkets.com,,,supersoniq_proven,yes
affectiveshops.com,,,discolike_IL,no
affiliatets.com,,,discolike_IL,no
agadolive.com,Agado Live,Video Software,scrape,no
agamanalytics.com,,,supersoniq_proven,yes
agatsoftware.com,,,discolike_IL,no
agente.dev,,,discolike_IL,no
agenteams.ai,,,discolike_IL,no
agented.now,,,discolike_IL,no
agentlabs.co.il,,,discolike_IL,no
agentngo.org,,,discolike_IL,no
agentos.co.il,,,discolike_IL,no
agentrank.cc,,,discolike_IL,no
